day,average_time_in_port
1/1/2023,26.36792929
1/2/2023,34.97807018
1/3/2023,78.87461538
1/4/2023,18.44481982
1/5/2023,24.21043771
1/6/2023,33.60634058
1/7/2023,35.52344961
1/8/2023,40.15479167
1/9/2023,113.5485232
1/10/2023,34.81030702
1/11/2023,36.21289683
1/12/2023,83.43070175
1/13/2023,26.25663082
1/14/2023,22.32676768
1/15/2023,33.96555556
1/16/2023,39.15520833
1/17/2023,23.28631579
1/18/2023,61.21651376
1/19/2023,11.0517134
1/20/2023,10.13380952
1/21/2023,18.3961165
1/22/2023,40.0822807
1/23/2023,26.09156379
1/24/2023,36.71792929
1/25/2023,99.41944444
1/26/2023,39.58647059
1/27/2023,23.74775281
1/28/2023,11.58426966
1/29/2023,43.46833333
1/30/2023,14.68381877
1/31/2023,19.80469256
2/1/2023,19.3476431
2/2/2023,25.91021505
2/3/2023,14.76793785
2/4/2023,17.23175439
2/5/2023,31.29099617
2/6/2023,29.56471861
2/7/2023,38.55689655
2/8/2023,15.55869565
2/9/2023,59.61745098
2/10/2023,36.66622222
2/11/2023,99.2476431
2/12/2023,69.86666667
2/13/2023,34.564
2/14/2023,239.2841667
2/15/2023,37.35981735
2/16/2023,28.00973597
2/17/2023,11.97003546
2/18/2023,11.95436137
2/19/2023,10.5578125
2/20/2023,10.95596491
2/21/2023,11.81353135
2/22/2023,29.13015873
2/23/2023,17.75249221
2/24/2023,14.39083333
2/25/2023,28.6504717
2/26/2023,15.00446735
2/27/2023,10.6084127
2/28/2023,27.7407197
3/1/2023,19.43315972
3/2/2023,16.36921769
3/3/2023,24.78120567
3/4/2023,16.14948454
3/5/2023,13.80581395
3/6/2023,10.77951389
3/7/2023,45.14280702
3/8/2023,16.223
3/9/2023,9.645833333
3/10/2023,12.97
3/11/2023,26.89433962
3/12/2023,12.49305556
3/13/2023,13.00756303
3/14/2023,18.71116505
3/15/2023,19.66996528
3/16/2023,15.68520249
3/17/2023,12.62135922
3/18/2023,11.25119048
3/19/2023,13.38651685
3/20/2023,102.5056338
3/21/2023,18.68908046
3/22/2023,15.86701389
3/23/2023,17.45
3/24/2023,14.51578947
3/25/2023,27.1
3/26/2023,15.95163399
3/27/2023,14.63722741
3/28/2023,12.31088435
3/29/2023,60.30542636
3/30/2023,18.94946237
3/31/2023,26.21229167
4/1/2023,41.83708333
4/2/2023,26.68179487
4/3/2023,27.84176955
4/4/2023,34.66129032
4/5/2023,21.96758242
4/6/2023,19.93218391
4/7/2023,25.37643678
4/8/2023,21.25
4/9/2023,17.6328479
4/10/2023,71.67560976
4/11/2023,21.38571429
4/12/2023,54.60075758
4/13/2023,36.23270833
4/14/2023,44.1408046
4/15/2023,24.13199405
4/16/2023,53.01277259
4/17/2023,32.60896226
4/18/2023,19.37485876
4/19/2023,15.81865672
4/20/2023,22.72157623
4/21/2023,12.70631579
4/22/2023,8.005421687
4/23/2023,9.616156463
4/24/2023,10.15265487
4/25/2023,12.27873563
4/26/2023,10.54469697
4/27/2023,8.466509434
4/28/2023,12.38402204
4/29/2023,16.52521739
4/30/2023,13.22268908
5/1/2023,11.10734463
5/2/2023,13.07751572
5/3/2023,7.52752809
5/4/2023,11.48014981
5/5/2023,8.675925926
5/6/2023,8.67375
5/7/2023,8.369642857
5/8/2023,66.99731801
5/9/2023,46.95787546
5/10/2023,10.76014493
5/11/2023,152.2489899
5/12/2023,12.93829365
5/13/2023,7.806410256
5/14/2023,7.896276596
5/15/2023,20.6503663
5/16/2023,13.13349835
5/17/2023,14.54698582
5/18/2023,6.756644144
5/19/2023,7.224528302
5/20/2023,55.7
5/21/2023,8.073432343
5/22/2023,9.613949275
5/23/2023,10.68699187
5/24/2023,16.18537037
5/25/2023,15.86646825
5/26/2023,8.529528986
5/27/2023,12.98140351
5/28/2023,10.58491228
5/29/2023,17.02569444
5/30/2023,13.10917603
5/31/2023,12.18535354
6/1/2023,11.46277778
6/2/2023,8.292708333
6/3/2023,9.730925926
6/4/2023,8.787403101
6/5/2023,8.199431818
6/6/2023,9.886702128
6/7/2023,11.83202247
6/8/2023,9.732407407
6/9/2023,10.24214559
6/10/2023,10.451
6/11/2023,11.80268817
6/12/2023,9.038351254
6/13/2023,22.56498127
6/14/2023,8.46399177
6/15/2023,9.512068966
6/16/2023,16.3115942
6/17/2023,8.235884354
