day,average_time_in_port
1/1/2023,463.7859903
1/2/2023,651.2335681
1/3/2023,811.2150273
1/4/2023,807.576484
1/5/2023,471.1283828
1/6/2023,786.592674
1/7/2023,548.9660417
1/8/2023,1038.178313
1/9/2023,590.4707792
1/10/2023,647.4304444
1/11/2023,602.9036797
1/12/2023,555.6378788
1/13/2023,557.1565134
1/14/2023,542.4911565
1/15/2023,785.8794574
1/16/2023,475.8719298
1/17/2023,480.1451613
1/18/2023,1016.834444
1/19/2023,422.3930272
1/20/2023,490.3953074
1/21/2023,586.2783654
1/22/2023,862.8827519
1/23/2023,962.2558943
1/24/2023,643.7587065
1/25/2023,1329.980736
1/26/2023,651.6521318
1/27/2023,1551.334302
1/28/2023,745.0942593
1/29/2023,640.9126812
1/30/2023,519.3730392
1/31/2023,730.0898625
2/1/2023,566.6391156
2/2/2023,868.865233
2/3/2023,451.3105072
2/4/2023,547.7812281
2/5/2023,564.3060606
2/6/2023,1342.915171
2/7/2023,513.7067901
2/8/2023,653.1505376
2/9/2023,655.6285141
2/10/2023,648.1731602
2/11/2023,533.1059649
2/12/2023,792.5116466
2/13/2023,896.1900463
2/14/2023,1577.895556
2/15/2023,566.5221461
2/16/2023,636.620462
2/17/2023,714.2699634
2/18/2023,549.7209571
2/19/2023,477.3491228
2/20/2023,905.7850775
2/21/2023,518.1424837
2/22/2023,408.0751773
2/23/2023,384.1815705
2/24/2023,593.7226984
2/25/2023,728.3608333
2/26/2023,498.5612847
2/27/2023,529.6666667
2/28/2023,609.05
3/1/2023,1299.977037
3/2/2023,661.5892256
3/3/2023,735.9039604
3/4/2023,600.2064912
3/5/2023,525.6238782
3/6/2023,586.4318182
3/7/2023,475.1881443
3/8/2023,583.3051546
3/9/2023,424.6073413
3/10/2023,952.6005495
3/11/2023,438.4626667
3/12/2023,785.5348148
3/13/2023,1202.081349
3/14/2023,899.7088889
3/15/2023,341.9469858
3/16/2023,466.9290816
3/17/2023,509.2326984
3/18/2023,664.9719203
3/19/2023,593.6544444
3/20/2023,647.5405093
3/21/2023,808.3168675
3/22/2023,615.0754682
3/23/2023,473.5375
3/24/2023,541.2831439
3/25/2023,800.5777778
3/26/2023,357.4626263
3/27/2023,593.7588785
3/28/2023,506.2297872
3/29/2023,527.9329365
3/30/2023,3216.758614
3/31/2023,755.4595528
4/1/2023,672.6175214
4/2/2023,879.4235294
4/3/2023,747.4751142
4/4/2023,474.4955426
4/5/2023,1747.713475
4/6/2023,352.6664729
4/7/2023,606.4380392
4/8/2023,626.8595486
4/9/2023,505.3107843
4/10/2023,920.2883333
4/11/2023,598.0284644
4/12/2023,643.7138577
4/13/2023,876.0683761
4/14/2023,471.7892045
4/15/2023,734.9561667
4/16/2023,779.4778333
4/17/2023,357.9957547
4/18/2023,387.4146199
4/19/2023,373.2811198
4/20/2023,673.8476378
4/21/2023,1219.792935
4/22/2023,439.1102083
4/23/2023,389.5965278
4/24/2023,816.7374603
4/25/2023,365.7094828
4/26/2023,677.6540179
4/27/2023,378.4218333
4/28/2023,895.6379464
4/29/2023,284.4343391
4/30/2023,973.4307377
5/1/2023,540.5153392
5/2/2023,866.6560317
5/3/2023,841.7405622
5/4/2023,406.8578652
5/5/2023,770.3896078
5/6/2023,3579.266049
5/7/2023,673.2347561
5/8/2023,545.108642
5/9/2023,568.8636364
5/10/2023,650.8980843
5/11/2023,1234.500543
5/12/2023,672.8602881
5/13/2023,498.8971591
5/14/2023,576.3934783
5/15/2023,476.1707843
5/16/2023,642.1890034
5/17/2023,400.7390152
5/18/2023,943.1828526
5/19/2023,1089.20928
5/20/2023,539.7097378
5/21/2023,634.6958333
5/22/2023,867.409319
5/23/2023,401.4347917
5/24/2023,2467.254598
5/25/2023,794.5270588
5/26/2023,483.8880682
5/27/2023,376.5051971
5/28/2023,719.7138596
5/29/2023,460.3855556
5/30/2023,758.7338889
5/31/2023,413.3567029
6/1/2023,455.7311111
6/2/2023,593.1282051
6/3/2023,524.0587209
6/4/2023,320.6351648
6/5/2023,491.1927083
6/6/2023,591.6659004
6/7/2023,548.9410569
6/8/2023,460.2302846
6/9/2023,690.3823643
6/10/2023,441.710101
6/11/2023,1608.28587
6/12/2023,392.724552
6/13/2023,525.8042683
6/14/2023,721.4778481
6/15/2023,522.3929924
6/16/2023,564.7947566
6/17/2023,405.5896907
6/18/2023,1116.760653
6/19/2023,518.4202247
6/20/2023,542.1234177
6/21/2023,977.5619048
6/22/2023,677.6209804
6/23/2023,371.2108059
6/24/2023,504.3663004
6/25/2023,753.9235772
6/26/2023,569.4129213
6/27/2023,1060.191481
6/28/2023,586.163
6/29/2023,344.9018519
6/30/2023,667.7964539
7/1/2023,648.7152174
7/2/2023,652.8433673
7/3/2023,422.7924242
7/4/2023,539.9177083
7/5/2023,568.4885768
7/6/2023,467.0756272
7/7/2023,567.2549383
7/8/2023,696.7080524
7/9/2023,968.8649621
7/10/2023,599.9533333
7/11/2023,475.3529167
7/12/2023,902.0953815
7/13/2023,464.0664794
7/14/2023,406.8609929
7/15/2023,527.3659649
7/16/2023,906.5234432
7/17/2023,523.2917808
7/18/2023,462.0049751
7/19/2023,491.8824074
7/20/2023,1209.242949
7/21/2023,506.2696787
7/22/2023,835.5388316
7/23/2023,942.8645
7/24/2023,666.2726337
7/25/2023,475.176749
7/26/2023,517.0022917
7/27/2023,457.5460674
7/28/2023,431.3105903
7/29/2023,766.0566308
7/30/2023,513.0131579
7/31/2023,1066.529845
8/1/2023,668.3299197
8/2/2023,553.3434156
8/3/2023,527.5926136
8/4/2023,512.2860806
8/5/2023,873.7315
8/6/2023,317.7538596
8/7/2023,419.5677083
8/8/2023,656.8811594
8/9/2023,688.3260563
8/10/2023,421.9094961
8/11/2023,450.5674074
8/12/2023,513.2693416
8/13/2023,627.8801852
8/14/2023,532.3181992
8/15/2023,611.1625926
8/16/2023,599.4623529
8/17/2023,733.1955556
8/18/2023,268.0618557
8/19/2023,555.2576779
8/20/2023,504.8056667
8/21/2023,410.7472222
8/22/2023,487.9565401
8/23/2023,1522.968824
8/24/2023,537.3283133
8/25/2023,1166.245437
8/26/2023,406.8714559
8/27/2023,883.9594444
8/28/2023,455.726087
8/29/2023,467.2237548
8/30/2023,524.7434783
8/31/2023,498.0210145
9/1/2023,602.6776557
9/2/2023,785.2523529
9/3/2023,483.196748
9/4/2023,515.6088889
9/5/2023,424.5532129
9/6/2023,1241.802721
9/7/2023,429.1727431
9/8/2023,510.5988889
9/9/2023,420.7961686
9/10/2023,740.4525641
9/11/2023,546.6326667
9/12/2023,767.2433761
9/13/2023,419.8815556
9/14/2023,547.643633
9/15/2023,557.182567
9/16/2023,568.9403101
9/17/2023,494.2591085
9/18/2023,441.7888258
