day,median_time_in_port
1/1/2023,8.966666667
1/2/2023,11.65
1/3/2023,19.8
1/4/2023,10.03333333
1/5/2023,10.48333333
1/6/2023,10.7
1/7/2023,11.15
1/8/2023,25.98333333
1/9/2023,12.75
1/10/2023,11.98333333
1/11/2023,12.06666667
1/12/2023,19.05
1/13/2023,12.2
1/14/2023,11
1/15/2023,11.01666667
1/16/2023,17.13333333
1/17/2023,10.15
1/18/2023,10.15
1/19/2023,10
1/20/2023,10.01666667
1/21/2023,10.5
1/22/2023,18.18333333
1/23/2023,10.85
1/24/2023,16.06666667
1/25/2023,19.45
1/26/2023,13.26666667
1/27/2023,10.33333333
1/28/2023,10.15
1/29/2023,8.85
1/30/2023,10.16666667
1/31/2023,9.983333333
2/1/2023,10.96666667
2/2/2023,10.85
2/3/2023,8.55
2/4/2023,10.21666667
2/5/2023,13.33333333
2/6/2023,14.98333333
2/7/2023,10.83333333
2/8/2023,10.16666667
2/9/2023,14.16666667
2/10/2023,10.6
2/11/2023,10.16666667
2/12/2023,10.5
2/13/2023,12.2
2/14/2023,19.8
2/15/2023,11.71666667
2/16/2023,11.38333333
2/17/2023,10.16666667
2/18/2023,10.11666667
2/19/2023,10.31666667
2/20/2023,10.18333333
2/21/2023,10.16666667
2/22/2023,7.7
2/23/2023,10.31666667
2/24/2023,10.03333333
2/25/2023,10.16666667
2/26/2023,10.01666667
2/27/2023,10.01666667
2/28/2023,10.15
3/1/2023,10.91666667
3/2/2023,10.16666667
3/3/2023,11.33333333
3/4/2023,10.15
3/5/2023,6.7
3/6/2023,10.16666667
3/7/2023,10.16666667
3/8/2023,10.13333333
3/9/2023,8.9
3/10/2023,10.05
3/11/2023,10.33333333
3/12/2023,10.48333333
3/13/2023,8.516666667
3/14/2023,9.866666667
3/15/2023,10.33333333
3/16/2023,10.18333333
3/17/2023,10.08333333
3/18/2023,10.15
3/19/2023,10.16666667
3/20/2023,10.5
3/21/2023,10.16666667
3/22/2023,10.16666667
3/23/2023,10.03333333
3/24/2023,10.36666667
3/25/2023,11.33333333
3/26/2023,10.33333333
3/27/2023,10.16666667
3/28/2023,10.01666667
3/29/2023,9.116666667
3/30/2023,10.46666667
3/31/2023,11.3
4/1/2023,15.08333333
4/2/2023,11.7
4/3/2023,11.03333333
4/4/2023,10.16666667
4/5/2023,10.48333333
4/6/2023,12.7
4/7/2023,11.35
4/8/2023,10.48333333
4/9/2023,10.48333333
4/10/2023,18.65
4/11/2023,11.68333333
4/12/2023,16.98333333
4/13/2023,17.3
4/14/2023,11.68333333
4/15/2023,10.66666667
4/16/2023,11.18333333
4/17/2023,12.05
4/18/2023,10.16666667
4/19/2023,10
4/20/2023,10.21666667
4/21/2023,8.366666667
4/22/2023,10
4/23/2023,10
4/24/2023,9.35
4/25/2023,10.13333333
4/26/2023,10.06666667
4/27/2023,10.01666667
4/28/2023,10.1
4/29/2023,9.216666667
4/30/2023,10
5/1/2023,9.016666667
5/2/2023,10.01666667
5/3/2023,9.3
5/4/2023,9.333333333
5/5/2023,10.01666667
5/6/2023,10.16666667
5/7/2023,10.08333333
5/8/2023,10.2
5/9/2023,10.16666667
5/10/2023,10.01666667
5/11/2023,10.13333333
5/12/2023,10.35
5/13/2023,10.01666667
5/14/2023,10.03333333
5/15/2023,10.15
5/16/2023,10.16666667
5/17/2023,9.45
5/18/2023,6.016666667
5/19/2023,6.333333333
5/20/2023,10.13333333
5/21/2023,10.01666667
5/22/2023,10.01666667
5/23/2023,10.15
5/24/2023,10.15
5/25/2023,10
5/26/2023,10.13333333
5/27/2023,10.15
5/28/2023,10.05
5/29/2023,10.18333333
5/30/2023,10
5/31/2023,9.033333333
6/1/2023,10.01666667
6/2/2023,10.03333333
6/3/2023,10.3
6/4/2023,10.16666667
6/5/2023,9.5
6/6/2023,10.13333333
6/7/2023,10.01666667
6/8/2023,10.01666667
6/9/2023,10.03333333
6/10/2023,10.13333333
6/11/2023,10.1
6/12/2023,10.16666667
6/13/2023,10.13333333
6/14/2023,10.03333333
6/15/2023,10.16666667
6/16/2023,10.03333333
6/17/2023,9.533333333
6/18/2023,10.01666667
6/19/2023,10.01666667
6/20/2023,10.13333333
6/21/2023,10.1
6/22/2023,10.05
6/23/2023,9.2
6/24/2023,10.06666667
6/25/2023,10.01666667
6/26/2023,10.16666667
6/27/2023,10.16666667
6/28/2023,10.15
6/29/2023,10.03333333
6/30/2023,10.1
7/1/2023,10
7/2/2023,10.13333333
7/3/2023,10.01666667
7/4/2023,10.06666667
7/5/2023,10.16666667
7/6/2023,10.01666667
7/7/2023,10.16666667
7/8/2023,10.05
7/9/2023,10.03333333
7/10/2023,10.03333333
7/11/2023,10.15
7/12/2023,10.18333333
7/13/2023,10.01666667
7/14/2023,10.15
7/15/2023,10.01666667
7/16/2023,10.16666667
7/17/2023,10.03333333
7/18/2023,10.11666667
7/19/2023,10.05
7/20/2023,10.13333333
7/21/2023,10.16666667
7/22/2023,10.15
7/23/2023,10
7/24/2023,10.06666667
7/25/2023,10.13333333
7/26/2023,10.16666667
7/27/2023,10.06666667
7/28/2023,8.766666667
7/29/2023,10
7/30/2023,8.983333333
7/31/2023,9.183333333
8/1/2023,10.03333333
8/2/2023,10.11666667
8/3/2023,9.05
8/4/2023,10
8/5/2023,10.08333333
8/6/2023,10.01666667
8/7/2023,10.15
8/8/2023,10.18333333
8/9/2023,11.85
8/10/2023,10.15
8/11/2023,10
8/12/2023,10.16666667
8/13/2023,10.16666667
8/14/2023,10.03333333
8/15/2023,10
8/16/2023,9.95
8/17/2023,9.85
8/18/2023,6.433333333
8/19/2023,6.95
8/20/2023,4.616666667
8/21/2023,10.18333333
8/22/2023,10.01666667
8/23/2023,10.66666667
8/24/2023,10.01666667
8/25/2023,10.15
8/26/2023,10.13333333
8/27/2023,10
8/28/2023,10.13333333
8/29/2023,10.01666667
8/30/2023,9.1
8/31/2023,10.16666667
9/1/2023,10.01666667
9/2/2023,9.833333333
9/3/2023,8.35
9/4/2023,10.13333333
9/5/2023,9.633333333
9/6/2023,10.18333333
9/7/2023,10.13333333
9/8/2023,10.03333333
9/9/2023,8.866666667
9/10/2023,9.133333333
9/11/2023,10.16666667
9/12/2023,10.16666667
9/13/2023,10.16666667
9/14/2023,10
9/15/2023,10.08333333
9/16/2023,10
9/17/2023,10.15
9/18/2023,10.05
9/19/2023,9.983333333
9/20/2023,9.833333333
9/21/2023,10.15
9/22/2023,8.816666667
9/23/2023,10.03333333
9/24/2023,6.833333333
9/25/2023,10.06666667
9/26/2023,10.03333333
9/27/2023,10.15
9/28/2023,10.2
9/29/2023,10.15
9/30/2023,10.18333333
10/1/2023,10.16666667
10/2/2023,10.11666667
10/3/2023,9.816666667
10/4/2023,10.5
10/5/2023,10.2
10/6/2023,10.15
10/7/2023,10.66666667
10/8/2023,10.16666667
10/9/2023,10.31666667
10/10/2023,10.66666667
10/11/2023,10.5
10/12/2023,10.66666667
10/13/2023,10.33333333
10/14/2023,10.18333333
10/15/2023,10.31666667
10/16/2023,10.3
10/17/2023,10.15
10/18/2023,10.25
10/19/2023,10.26666667
10/20/2023,10.13333333
10/21/2023,10.15
10/22/2023,10.03333333
10/23/2023,10.81666667
10/24/2023,10.18333333
10/25/2023,10.26666667
10/26/2023,10.95
10/27/2023,10.18333333
10/28/2023,10.18333333
10/29/2023,10
10/30/2023,10.18333333
10/31/2023,10.36666667
11/1/2023,10.18333333
11/2/2023,10.4
11/3/2023,10
11/4/2023,10.01666667
11/5/2023,10.16666667
11/6/2023,10.01666667
11/7/2023,10.16666667
11/8/2023,9.6
11/9/2023,10.03333333
11/10/2023,10.31666667
11/11/2023,9.983333333
11/12/2023,10.08333333
11/13/2023,10
11/14/2023,10.16666667
11/15/2023,10.13333333
11/16/2023,10.16666667
11/17/2023,10.16666667
11/18/2023,10.01666667
11/19/2023,9.25
11/20/2023,10.01666667
11/21/2023,10.13333333
11/22/2023,10.16666667
11/23/2023,10.15
11/24/2023,10.16666667
11/25/2023,10.03333333
11/26/2023,10.13333333
11/27/2023,10
11/28/2023,10.01666667
11/29/2023,10.16666667
11/30/2023,10.03333333
12/1/2023,10.13333333
12/2/2023,10.16666667
12/3/2023,10.15
12/4/2023,7.833333333
12/5/2023,4.066666667
12/6/2023,7.1
12/7/2023,6.95
12/8/2023,10.16666667
12/9/2023,10.18333333
12/10/2023,10.01666667
12/11/2023,9.566666667
12/12/2023,10
12/13/2023,10.28333333
12/14/2023,10.16666667
12/15/2023,10.01666667
12/16/2023,10.16666667
12/17/2023,10.18333333
12/18/2023,10.33333333
12/19/2023,10.16666667
12/20/2023,10.18333333
