day,median_time_in_port
1/1/2022,41
1/2/2022,53.98333333
1/3/2022,51.01666667
1/4/2022,47.1
1/5/2022,38.35
1/6/2022,40.28333333
1/7/2022,48.31666667
1/8/2022,40.85
1/9/2022,48.51666667
1/10/2022,38.18333333
1/11/2022,45.9
1/12/2022,48.31666667
1/13/2022,47.98333333
1/14/2022,35.36666667
1/15/2022,40.35
1/16/2022,40.35
1/17/2022,48.16666667
1/18/2022,48
1/19/2022,49.85
1/20/2022,42.18333333
1/21/2022,39.28333333
1/22/2022,49.25
1/23/2022,44.01666667
1/24/2022,40.5
1/25/2022,50.55
1/26/2022,41.31666667
1/27/2022,45.16666667
1/28/2022,48.01666667
1/29/2022,35.95
1/30/2022,30.25
1/31/2022,30.73333333
2/1/2022,32.96666667
2/2/2022,30.35
2/3/2022,31
2/4/2022,34.53333333
2/5/2022,36.01666667
2/6/2022,30.4
2/7/2022,38.98333333
2/8/2022,32.83333333
2/9/2022,29.2
2/10/2022,30.4
2/11/2022,30.5
2/12/2022,42.83333333
2/13/2022,50.35
2/14/2022,44
2/15/2022,40.71666667
2/16/2022,40.3
2/17/2022,33.5
2/18/2022,42
2/19/2022,40.68333333
2/20/2022,40.68333333
2/21/2022,50.31666667
2/22/2022,47.45
2/23/2022,48.03333333
2/24/2022,50.3
2/25/2022,47.35
2/26/2022,41.98333333
2/27/2022,39
2/28/2022,51
3/1/2022,51.01666667
3/2/2022,48.18333333
3/3/2022,44.91666667
3/4/2022,39.98333333
3/5/2022,42.03333333
3/6/2022,45.01666667
3/7/2022,47.96666667
3/8/2022,41.01666667
3/9/2022,39.5
3/10/2022,40.98333333
3/11/2022,50.51666667
3/12/2022,40.66666667
3/13/2022,45
3/14/2022,41.51666667
3/15/2022,47.95
3/16/2022,50.18333333
3/17/2022,42.03333333
3/18/2022,40.33333333
3/19/2022,44.51666667
3/20/2022,42.65
3/21/2022,35.86666667
3/22/2022,47.36666667
3/23/2022,54.03333333
3/24/2022,51.01666667
3/25/2022,57.66666667
3/26/2022,48.01666667
3/27/2022,51.1
3/28/2022,46.65
3/29/2022,40.5
3/30/2022,48.28333333
3/31/2022,44.5
4/1/2022,40.31666667
4/2/2022,41.05
4/3/2022,40.3
4/4/2022,51.6
4/5/2022,51.03333333
4/6/2022,43.66666667
4/7/2022,42.23333333
4/8/2022,37.28333333
4/9/2022,39.91666667
4/10/2022,40.31666667
4/11/2022,44.95
4/12/2022,40.33333333
4/13/2022,40.66666667
4/14/2022,40.63333333
4/15/2022,41.96666667
4/16/2022,48.56666667
4/17/2022,50.98333333
4/18/2022,42.05
4/19/2022,40.48333333
4/20/2022,40.51666667
4/21/2022,47.83333333
4/22/2022,48
4/23/2022,48.66666667
4/24/2022,50.51666667
4/25/2022,49.48333333
4/26/2022,44.33333333
4/27/2022,39
4/28/2022,54.01666667
4/29/2022,43.95
4/30/2022,43.33333333
5/1/2022,39.6
5/2/2022,32.91666667
5/3/2022,33.83333333
5/4/2022,32
5/5/2022,33
5/6/2022,30.36666667
5/7/2022,36.83333333
5/8/2022,31.53333333
5/9/2022,38.55
5/10/2022,36.1
5/11/2022,44.56666667
5/12/2022,50.48333333
5/13/2022,50.53333333
5/14/2022,36.6
5/15/2022,39.48333333
5/16/2022,40.85
5/17/2022,40.35
5/18/2022,40.5
5/19/2022,40.5
5/20/2022,35.98333333
5/21/2022,40.85
5/22/2022,40.46666667
5/23/2022,41.7
5/24/2022,40.81666667
5/25/2022,32.98333333
5/26/2022,38.98333333
5/27/2022,34.8
5/28/2022,39.56666667
5/29/2022,40.35
5/30/2022,38.91666667
5/31/2022,36.05
6/1/2022,35.98333333
6/2/2022,39.31666667
6/3/2022,41.4
6/4/2022,40.83333333
6/5/2022,40.48333333
6/6/2022,44
6/7/2022,43.08333333
6/8/2022,40.2
6/9/2022,40.51666667
6/10/2022,41.33333333
6/11/2022,38.96666667
6/12/2022,42.56666667
6/13/2022,45.55
6/14/2022,40.35
6/15/2022,40.3
6/16/2022,45.01666667
6/17/2022,41
6/18/2022,45.13333333
6/19/2022,40.65
6/20/2022,41.51666667
6/21/2022,35.96666667
6/22/2022,40.31666667
6/23/2022,41.9
6/24/2022,38.18333333
6/25/2022,41.86666667
6/26/2022,36.03333333
6/27/2022,44
6/28/2022,40.48333333
6/29/2022,48.65
6/30/2022,40.66666667
7/1/2022,44.06666667
7/2/2022,40.9
7/3/2022,33.23333333
7/4/2022,44.03333333
7/5/2022,40.38333333
7/6/2022,45.63333333
7/7/2022,40.65
7/8/2022,53.73333333
7/9/2022,52.15
7/10/2022,36.38333333
7/11/2022,37.16666667
7/12/2022,35.55
7/13/2022,40.31666667
7/14/2022,38.68333333
7/15/2022,40.66666667
7/16/2022,40.3
7/17/2022,45.06666667
7/18/2022,40.46666667
7/19/2022,51.81666667
7/20/2022,47.01666667
7/21/2022,45
7/22/2022,35.35
7/23/2022,38.98333333
7/24/2022,30.26666667
7/25/2022,35.66666667
7/26/2022,39.03333333
7/27/2022,49.55
7/28/2022,39.01666667
7/29/2022,40.53333333
7/30/2022,34.08333333
7/31/2022,41.95
8/1/2022,41.46666667
8/2/2022,38.85
8/3/2022,33.3
8/4/2022,40.56666667
8/5/2022,47
8/6/2022,43.51666667
8/7/2022,40.46666667
8/8/2022,48.03333333
8/9/2022,49.13333333
8/10/2022,58.36666667
8/11/2022,49.2
8/12/2022,47.81666667
8/13/2022,47.91666667
8/14/2022,46.5
8/15/2022,34.53333333
8/16/2022,36.35
8/17/2022,36
8/18/2022,30.33333333
8/19/2022,39.91666667
8/20/2022,37.58333333
8/21/2022,37.33333333
8/22/2022,33.93333333
8/23/2022,39.1
8/24/2022,42.98333333
8/25/2022,41.35
8/26/2022,49.3
8/27/2022,47.98333333
8/28/2022,46.91666667
8/29/2022,39.01666667
8/30/2022,36.96666667
8/31/2022,42.4
9/1/2022,39.55
9/2/2022,36.73333333
9/3/2022,34.36666667
9/4/2022,32.3
9/5/2022,29.9
9/6/2022,30.48333333
9/7/2022,32.96666667
9/8/2022,33.33333333
9/9/2022,37.81666667
9/10/2022,30.5
9/11/2022,46.33333333
9/12/2022,50.2
9/13/2022,51
9/14/2022,48.61666667
9/15/2022,40.31666667
9/16/2022,40.35
9/17/2022,43.66666667
9/18/2022,42.33333333
9/19/2022,38.86666667
9/20/2022,34.43333333
9/21/2022,40.33333333
9/22/2022,46
9/23/2022,40.31666667
9/24/2022,47.96666667
9/25/2022,40.48333333
9/26/2022,36.63333333
9/27/2022,40.53333333
9/28/2022,40.33333333
9/29/2022,42.06666667
9/30/2022,42.08333333
10/1/2022,38.81666667
10/2/2022,50.3
10/3/2022,39.33333333
10/4/2022,51.83333333
10/5/2022,47.21666667
10/6/2022,50.48333333
10/7/2022,40.5
10/8/2022,45.83333333
10/9/2022,35.83333333
10/10/2022,38.91666667
10/11/2022,36.03333333
10/12/2022,40.2
10/13/2022,33.56666667
10/14/2022,40.48333333
10/15/2022,47.96666667
10/16/2022,50.98333333
10/17/2022,40.33333333
10/18/2022,44.81666667
10/19/2022,38.48333333
10/20/2022,37.91666667
10/21/2022,42.03333333
10/22/2022,42.48333333
10/23/2022,40.65
10/24/2022,35.98333333
10/25/2022,36
10/26/2022,46.35
10/27/2022,42
10/28/2022,45
10/29/2022,35.43333333
10/30/2022,40.51666667
10/31/2022,33.15
11/1/2022,33.58333333
11/2/2022,34.8
11/3/2022,33.1
11/4/2022,36.23333333
11/5/2022,50.65
11/6/2022,38.75
11/7/2022,41.1
11/8/2022,48.83333333
11/19/2022,79.85
11/20/2022,42.03333333
11/21/2022,47.06666667
11/22/2022,38.7
11/23/2022,45.08333333
11/24/2022,40.66666667
11/25/2022,50.96666667
11/26/2022,40.46666667
11/27/2022,41.01666667
11/28/2022,43.88333333
11/29/2022,40.25
11/30/2022,33
12/1/2022,34.35
12/2/2022,40.35
12/3/2022,46.15
12/4/2022,46.33333333
12/5/2022,40.26666667
12/6/2022,50.3
12/7/2022,48.1
12/8/2022,51.08333333
12/9/2022,45.83333333
12/10/2022,42.36666667
12/11/2022,50.35
12/12/2022,50.65
12/13/2022,49.41666667
12/14/2022,40.66666667
12/15/2022,52.2
12/16/2022,45.86666667
12/17/2022,43.5
12/18/2022,49.98333333
12/19/2022,40.31666667
12/20/2022,50.31666667
12/21/2022,40.35
12/22/2022,44.06666667
12/23/2022,38.95
12/24/2022,36
12/25/2022,38.98333333
12/26/2022,40.35
12/27/2022,40.18333333
12/28/2022,35.73333333
12/29/2022,40.2
12/30/2022,30.13333333
12/31/2022,27.01666667
