day,median_time_in_port
1/1/2022,248
1/2/2022,256
1/3/2022,256.3833333
1/4/2022,245.9666667
1/5/2022,247.55
1/6/2022,247.35
1/7/2022,266.4833333
1/8/2022,264.6833333
1/9/2022,265.65
1/10/2022,272.85
1/11/2022,257
1/12/2022,257.35
1/13/2022,267.0666667
1/14/2022,248.4166667
1/15/2022,263.6833333
1/16/2022,269.8833333
1/17/2022,269.7
1/18/2022,246.0666667
1/19/2022,258.9
1/20/2022,257.7
1/21/2022,257.3333333
1/22/2022,255.0333333
1/23/2022,260.9
1/24/2022,261.7166667
1/25/2022,248.05
1/26/2022,251.1666667
1/27/2022,270.0166667
1/28/2022,291.0333333
1/29/2022,261.1
1/30/2022,248.6166667
1/31/2022,247.1833333
2/1/2022,260.9833333
2/2/2022,267.2333333
2/3/2022,242.4833333
2/4/2022,263.9666667
2/5/2022,249.0333333
2/6/2022,302.8166667
2/7/2022,261.05
2/8/2022,260.9166667
2/9/2022,265.2166667
2/10/2022,291.4333333
2/11/2022,255.8833333
2/12/2022,262.55
2/13/2022,264.95
2/14/2022,257.8833333
2/15/2022,272.15
2/16/2022,279.0166667
2/17/2022,256.0166667
2/18/2022,258.5
2/19/2022,242.1833333
2/20/2022,265.5166667
2/21/2022,249.0333333
2/22/2022,264.8166667
2/23/2022,259.1
2/24/2022,264.7833333
2/25/2022,257.2166667
2/26/2022,261
2/27/2022,274.6166667
2/28/2022,275.85
3/1/2022,263.5666667
3/2/2022,270.9833333
3/3/2022,283.9833333
3/4/2022,261.0166667
3/5/2022,262.2666667
3/6/2022,256.8
3/7/2022,260.9166667
3/8/2022,257.6
3/9/2022,249.0333333
3/10/2022,268.7166667
3/11/2022,252
3/12/2022,248.9333333
3/13/2022,254.8833333
3/14/2022,266.35
3/15/2022,306.3166667
3/16/2022,264.1666667
3/17/2022,276.55
3/18/2022,270.9333333
3/19/2022,255.85
3/20/2022,267.0833333
3/21/2022,317.8
3/22/2022,251.5166667
3/23/2022,290.8833333
3/24/2022,264.2166667
3/25/2022,234.4666667
3/26/2022,264.3
3/27/2022,265.5
3/28/2022,248.0166667
3/29/2022,256.1333333
3/30/2022,266.9333333
3/31/2022,269.7833333
4/1/2022,238.0166667
4/2/2022,255.85
4/3/2022,245.25
4/4/2022,257.55
4/5/2022,280.75
4/6/2022,263.9833333
4/7/2022,270.2833333
4/8/2022,266.7
4/9/2022,247.1666667
4/10/2022,259.4166667
4/11/2022,247.9333333
4/12/2022,243.35
4/13/2022,247.5833333
4/14/2022,258.0333333
4/15/2022,255.5333333
4/16/2022,239.5166667
4/17/2022,254.4166667
4/18/2022,252.0333333
4/19/2022,257.9333333
4/20/2022,285.05
4/21/2022,260.15
4/22/2022,339.7833333
4/23/2022,310.2666667
4/24/2022,365.9666667
4/25/2022,313.55
4/26/2022,438.45
4/27/2022,283.3166667
4/28/2022,371.25
4/29/2022,348.1666667
4/30/2022,315
5/1/2022,343.6666667
5/2/2022,260.2333333
5/3/2022,261.5166667
5/4/2022,257.9666667
5/5/2022,303.2333333
5/6/2022,296.7666667
5/7/2022,325.5666667
5/8/2022,318.1666667
5/9/2022,301.8333333
5/10/2022,307.3333333
5/11/2022,346.9666667
5/12/2022,2316.766667
5/13/2022,363.2333333
5/14/2022,298.4666667
5/15/2022,271.35
5/16/2022,277.6833333
5/17/2022,264.1833333
5/18/2022,265.2666667
5/19/2022,256.8166667
5/20/2022,256.0166667
5/21/2022,284.8166667
5/22/2022,270
5/23/2022,266.7166667
5/24/2022,266.6166667
5/25/2022,279.4166667
5/26/2022,267.0333333
5/27/2022,258.8333333
5/28/2022,274.3333333
5/29/2022,271.8833333
5/30/2022,267.05
5/31/2022,285.4666667
6/1/2022,255.65
6/2/2022,272.6
6/3/2022,263.75
6/4/2022,283.5166667
6/5/2022,243.0666667
6/6/2022,251.3333333
6/7/2022,289.3166667
6/8/2022,279.0833333
6/9/2022,251.1666667
6/10/2022,256.05
6/11/2022,265.3
6/12/2022,282.7333333
6/13/2022,303.0333333
6/14/2022,240.0666667
6/15/2022,278.3333333
6/16/2022,294.0166667
6/17/2022,280.7666667
6/18/2022,297.3
6/19/2022,251.9166667
6/20/2022,278.9833333
6/21/2022,273.3666667
6/22/2022,264.0666667
6/23/2022,247.8166667
6/24/2022,294.4666667
6/25/2022,267.55
6/26/2022,267.1333333
6/27/2022,273
6/28/2022,341.6833333
6/29/2022,305.7
6/30/2022,287.4666667
7/1/2022,284.3666667
7/2/2022,293.0333333
7/3/2022,319.9333333
7/4/2022,286.1666667
7/5/2022,281.9833333
7/6/2022,285.5
7/7/2022,273.5
7/8/2022,301.45
7/9/2022,276.75
7/10/2022,291.4333333
7/11/2022,278.8833333
7/12/2022,295.6666667
7/13/2022,285.95
7/14/2022,274.2833333
7/15/2022,296.9166667
7/16/2022,263.7166667
7/17/2022,273.0166667
7/18/2022,256.0166667
7/19/2022,258.85
7/20/2022,257.9666667
7/21/2022,291.5
7/22/2022,274.5333333
7/23/2022,265.45
7/24/2022,273.2833333
7/25/2022,257.2833333
7/26/2022,264.05
7/27/2022,269.1166667
7/28/2022,273.05
7/29/2022,267.1
7/30/2022,269.0333333
7/31/2022,273
8/1/2022,259.45
8/2/2022,264.6666667
8/3/2022,280.5333333
8/4/2022,273.5833333
8/5/2022,273.6166667
8/6/2022,272.65
8/7/2022,268.2166667
8/8/2022,256.8166667
8/9/2022,266.6666667
8/10/2022,256.5
8/11/2022,275.2666667
8/12/2022,261.9833333
8/13/2022,265.0666667
8/14/2022,270.2333333
8/15/2022,281.9833333
8/16/2022,263.5
8/17/2022,248.8833333
8/18/2022,260.1833333
8/19/2022,264.6
8/20/2022,258.75
8/21/2022,265.0333333
8/22/2022,250.6833333
8/23/2022,250.6
8/24/2022,258.1166667
8/25/2022,252
8/26/2022,261.3666667
8/27/2022,256.1666667
8/28/2022,264.0666667
8/29/2022,255.1833333
8/30/2022,260.2333333
8/31/2022,262.8
9/1/2022,263.0833333
9/2/2022,279.3333333
9/3/2022,304.4833333
9/4/2022,276.7666667
9/5/2022,273.5333333
9/6/2022,256.2666667
9/7/2022,257.2166667
9/8/2022,258.8333333
9/9/2022,260.4333333
9/10/2022,272.85
9/11/2022,283.9833333
9/12/2022,253.1166667
9/13/2022,257.75
9/14/2022,273.0166667
9/15/2022,248.5
9/16/2022,251.6666667
9/17/2022,259.8166667
9/18/2022,273.3333333
9/19/2022,246.1833333
9/20/2022,243.0166667
9/21/2022,255.3333333
9/22/2022,263.1666667
9/23/2022,265.5833333
9/24/2022,274.5166667
9/25/2022,268.0666667
9/26/2022,243.0666667
9/27/2022,254.2
9/28/2022,265.85
9/29/2022,263.6666667
9/30/2022,279
10/1/2022,269.8166667
10/2/2022,273.3166667
10/3/2022,280.4166667
10/4/2022,300.7
10/5/2022,273.7333333
10/6/2022,282.9833333
10/7/2022,298.95
10/8/2022,282.0666667
10/9/2022,281.75
10/10/2022,313.3333333
10/11/2022,290.2666667
10/12/2022,272.35
10/13/2022,273.9833333
10/14/2022,270.5
10/15/2022,274.4333333
10/16/2022,267.6666667
10/17/2022,274.1666667
10/18/2022,266.2666667
10/19/2022,284.1666667
10/20/2022,279.45
10/21/2022,271.9833333
10/22/2022,266.6666667
10/23/2022,258.4833333
10/24/2022,267.0166667
10/25/2022,279.05
10/26/2022,274.5166667
10/27/2022,273.6666667
10/28/2022,264.6833333
10/29/2022,254.5166667
10/30/2022,276.9
10/31/2022,270.2
11/1/2022,262.9666667
11/2/2022,266.5166667
11/3/2022,261.9166667
11/4/2022,273.4333333
11/5/2022,286.05
11/6/2022,276.1
11/7/2022,228
11/8/2022,289.1333333
11/19/2022,411.5166667
11/20/2022,300.1833333
11/21/2022,258.0166667
11/22/2022,292.4833333
11/23/2022,288
11/24/2022,284.95
11/25/2022,279.3833333
11/26/2022,265.05
11/27/2022,276.95
11/28/2022,266
11/29/2022,262.6666667
11/30/2022,272.0166667
12/1/2022,248
12/2/2022,263
12/3/2022,268.1666667
12/4/2022,285.3333333
12/5/2022,265.1833333
12/6/2022,269.5166667
12/7/2022,267.2166667
12/8/2022,263.5666667
12/9/2022,250.5166667
12/10/2022,264.5
12/11/2022,262.7666667
12/12/2022,279.0833333
12/13/2022,305.8
12/14/2022,259.0166667
12/15/2022,270.3
12/16/2022,261.1
12/17/2022,264.7166667
12/18/2022,267.45
12/19/2022,266.1
12/20/2022,271.6833333
12/21/2022,276.3666667
12/22/2022,306.4833333
12/23/2022,342.0333333
12/24/2022,277.2
12/25/2022,260.0833333
12/26/2022,277.4
12/27/2022,267.3666667
12/28/2022,259.5666667
12/29/2022,273.3
12/30/2022,248.95
12/31/2022,231.0166667
