day,average_time_in_port
1/1/2022,1124.131153
1/2/2022,690.0487421
1/3/2022,1125.306871
1/4/2022,1236.689729
1/5/2022,1857.625292
1/6/2022,1365.087893
1/7/2022,1704.859673
1/8/2022,3392.749843
1/9/2022,1850.015351
1/10/2022,1334.137087
1/11/2022,1060.981404
1/12/2022,1145.137937
1/13/2022,1768.84736
1/14/2022,1382.697391
1/15/2022,3555.907212
1/16/2022,1618.549353
1/17/2022,1230.867871
1/18/2022,790.0577982
1/19/2022,769.0602201
1/20/2022,1532.163889
1/21/2022,2124.239193
1/22/2022,1027.024227
1/23/2022,1928.993827
1/24/2022,1408.450144
1/25/2022,1292.116208
1/26/2022,1520.097833
1/27/2022,841.2136667
1/28/2022,1378.753592
1/29/2022,832.9588589
1/30/2022,1478.842308
1/31/2022,4609.171078
2/1/2022,1874.170216
2/2/2022,1277.746903
2/3/2022,2002.098315
2/4/2022,1191.694818
2/5/2022,3789.280556
2/6/2022,2074.347193
2/7/2022,1575.513447
2/8/2022,2996.891667
2/9/2022,1946.9335
2/10/2022,1648.98617
2/11/2022,1357.611799
2/12/2022,1384.486161
2/13/2022,1889.187542
2/14/2022,1492.199
2/15/2022,1337.312105
2/16/2022,1740.420059
2/17/2022,2220.215881
2/18/2022,1818.307798
2/19/2022,1303.121855
2/20/2022,1876.122783
2/21/2022,1023.917845
2/22/2022,1900.459524
2/23/2022,1220.804167
2/24/2022,1500.500779
2/25/2022,1568.895575
2/26/2022,1746.994309
2/27/2022,1313.41619
2/28/2022,1367.42327
3/1/2022,1585.356269
3/2/2022,1250.405065
3/3/2022,1587.154505
3/4/2022,1720.357018
3/5/2022,1107.336933
3/6/2022,1696.770977
3/7/2022,2291.611823
3/8/2022,1274.361947
3/9/2022,951.7658654
3/10/2022,1200.185034
3/11/2022,1439.802358
3/12/2022,2767.358865
3/13/2022,1512.506667
3/14/2022,2879.233673
3/15/2022,2465.545238
3/16/2022,1686.637548
3/17/2022,1716.760997
3/18/2022,1917.051099
3/19/2022,2006.966842
3/20/2022,2023.65049
3/21/2022,1818.169472
3/22/2022,1296.757706
3/23/2022,1545.93625
3/24/2022,2595.907164
3/25/2022,1787.07233
3/26/2022,2401.612903
3/27/2022,2441.527619
3/28/2022,1167.767742
3/29/2022,849.3298165
3/30/2022,1948.074638
3/31/2022,2499.473742
4/1/2022,1343.554379
4/2/2022,1889.204167
4/3/2022,1157.642935
4/4/2022,3597.78415
4/5/2022,1454.736508
4/6/2022,1999.611616
4/7/2022,2172.412255
4/8/2022,1553.782372
4/9/2022,1605.876842
4/10/2022,1524.093805
4/11/2022,1645.812174
4/12/2022,1267.721782
4/13/2022,978.3965347
4/14/2022,1067.053175
4/15/2022,2833.567073
4/16/2022,1263.430122
4/17/2022,1354.825847
4/18/2022,1278.712162
4/19/2022,2730.179167
4/20/2022,1619.042355
4/21/2022,775.6005556
4/22/2022,3953.00546
4/23/2022,1355.586458
4/24/2022,1851.764035
4/25/2022,1699.957921
4/26/2022,1293.0015
4/27/2022,1425.28033
4/28/2022,1566.266667
4/29/2022,919.2319121
4/30/2022,1540.411511
5/1/2022,1788.216942
5/2/2022,2503.477414
5/3/2022,1240.870957
5/4/2022,1070.579808
5/5/2022,1726.281858
5/6/2022,812.503717
5/7/2022,1038.817664
5/8/2022,1293.698929
5/9/2022,1911.348406
5/10/2022,1468.485015
5/11/2022,3501.868824
5/12/2022,4080.651852
5/13/2022,3052.867018
5/14/2022,959.3958333
5/15/2022,3448.583333
5/16/2022,2312.673674
5/17/2022,1243.918429
5/18/2022,1273.514646
5/19/2022,992.0521242
5/20/2022,1493.049048
5/21/2022,2115.733513
5/22/2022,1007.617492
5/23/2022,2177.704085
5/24/2022,1415.150917
5/25/2022,1086.290236
5/26/2022,1423.84837
5/27/2022,1144.336964
5/28/2022,1692.742202
5/29/2022,1219.650306
5/30/2022,1389.913167
5/31/2022,2089.75051
6/1/2022,1828.996508
6/2/2022,1816.866824
6/3/2022,1004.869071
6/4/2022,1790.107116
6/5/2022,947.1370536
6/6/2022,1180.602778
6/7/2022,1971.337624
6/8/2022,1015.625947
6/9/2022,869.7
6/10/2022,1026.117544
6/11/2022,1412.960092
6/12/2022,2552.861164
6/13/2022,2376.511296
6/14/2022,993.1756098
6/15/2022,1597.636883
6/16/2022,1811.467376
6/17/2022,1237.690455
6/18/2022,1526.609639
6/19/2022,2106.302966
6/20/2022,2113.00118
6/21/2022,1489.045748
6/22/2022,1680.820152
6/23/2022,1249.936426
6/24/2022,2129.336628
6/25/2022,1657.614833
6/26/2022,1745.502614
6/27/2022,3055.512698
6/28/2022,3538.215054
6/29/2022,1154.527124
6/30/2022,1443.837021
7/1/2022,1041.289381
7/2/2022,1820.61521
7/3/2022,1746.797959
7/4/2022,2695.526101
7/5/2022,1236.237302
7/6/2022,1015.930655
7/7/2022,1166.379968
7/8/2022,1491.689242
7/9/2022,1013.59055
7/10/2022,4136.374699
7/11/2022,2479.092739
7/12/2022,977.4679598
7/13/2022,1167.67048
7/14/2022,1477.419848
