day,median_time_in_port,average_time_in_port
1/1/2022,40.5,506.1519608
1/2/2022,35.98333333,398.9747778
1/3/2022,35.96666667,404.2722479
1/4/2022,68.96666667,512.0643975
1/5/2022,65.9,557.1830997
1/6/2022,26.65,376.7368492
1/7/2022,48.01666667,459.4010022
1/8/2022,41.95,491.1548316
1/9/2022,65.4,468.6460494
1/10/2022,44,472.105352
1/11/2022,60.15,468.7340153
1/12/2022,44.05,438.4048106
1/13/2022,52.6,495.7903904
1/14/2022,34.56666667,410.5185266
1/15/2022,34.65,459.0574113
1/16/2022,32.56666667,422.0956084
1/17/2022,31.51666667,447.4389009
1/18/2022,30.31666667,470.4152655
1/19/2022,33.01666667,438.7282276
1/20/2022,82.38333333,556.6043446
1/21/2022,84.06666667,537.4472484
1/22/2022,77.55,554.8502564
1/23/2022,69.51666667,549.0872941
1/24/2022,70.1,550.9947804
1/25/2022,74.98333333,541.9600228
1/26/2022,57.08333333,588.2236546
1/27/2022,63.01666667,594.3684397
1/28/2022,77.98333333,521.5312851
1/29/2022,80.51666667,592.0714176
1/30/2022,36.16666667,406.5329474
1/31/2022,36.23333333,529.6441844
2/1/2022,64.9,480.5554893
2/2/2022,30.31666667,384.7852713
2/3/2022,39,499.8325926
2/4/2022,80.96666667,532.3860914
2/5/2022,51.81666667,536.6847412
2/6/2022,39.83333333,509.6288764
2/7/2022,30.1,404.3092593
2/8/2022,44.98333333,585.3642276
2/9/2022,31.5,421.747874
2/10/2022,35.35,484.6242519
2/11/2022,91.41666667,552.5411028
2/12/2022,39.03333333,454.0382401
2/13/2022,31.66666667,399.7003049
2/14/2022,34.63333333,416.6936966
2/15/2022,92,568.5989731
2/16/2022,33.05,433.7713208
2/17/2022,33,413.7356575
2/18/2022,48,463.128347
2/19/2022,36.01666667,509.1084189
2/20/2022,32.93333333,505.5034197
2/21/2022,32.51666667,424.5393624
2/22/2022,25.7,376.7497995
2/23/2022,37.68333333,448.5491853
2/24/2022,43.01666667,475.5489007
2/25/2022,76.85,550.1320913
2/26/2022,76.03333333,454.5986547
2/27/2022,41.68333333,536.1027915
2/28/2022,43.48333333,482.7618038
3/1/2022,40.31666667,462.3144875
3/2/2022,40.48333333,526.3775794
3/3/2022,44.85,467.8256125
3/4/2022,85.06666667,555.5903981
3/5/2022,42.05,457.9652525
3/6/2022,41.01666667,536.1846462
3/7/2022,86.96666667,567.8598936
3/8/2022,87.01666667,600.0296296
3/9/2022,72.1,508.1323311
3/10/2022,78.01666667,535.3451564
3/11/2022,40.25,495.5570908
3/12/2022,28.18333333,470.3500641
3/13/2022,32.45,418.6620183
3/14/2022,59.9,554.5859667
3/15/2022,50.95,519.8725216
3/16/2022,40.98333333,469.1647126
3/17/2022,50.66666667,569.9571429
3/18/2022,37.2,466.5304645
3/19/2022,33.66666667,443.8870729
3/20/2022,30.65,457.4876454
3/21/2022,30.16666667,415.6909121
3/22/2022,30.08333333,472.0183633
3/23/2022,36.01666667,542.4323179
3/24/2022,35.3,524.4209971
3/25/2022,89.96666667,562.0361446
3/26/2022,46.38333333,507.9793651
3/27/2022,96.05,568.0517182
3/28/2022,73.16666667,558.3734234
3/29/2022,55.46666667,474.1458158
3/30/2022,83.93333333,527.7374898
3/31/2022,75,499.6021024
4/1/2022,69.06666667,504.4076981
4/2/2022,74.98333333,578.3541478
4/3/2022,54.01666667,598.8677489
4/4/2022,69.1,576.0985149
4/5/2022,87.01666667,617.2874317
4/6/2022,40.4,484.8429019
4/7/2022,80.85,569.7134104
4/8/2022,57.81666667,595.3070498
4/9/2022,70.98333333,579.894898
4/10/2022,31.46666667,483.1998051
4/11/2022,75.81666667,558.6179138
4/12/2022,93.13333333,618.8272574
4/13/2022,92.9,612.3478135
4/14/2022,91.8,655.7466835
4/15/2022,92.95,582.5616915
4/16/2022,77.91666667,539.8079007
4/17/2022,78.61666667,548.6317895
4/18/2022,83.85,540.3201689
4/19/2022,83.5,581.6804131
4/20/2022,42.6,508.124622
4/21/2022,77.9,578.7436308
4/22/2022,52.28333333,546.6056296
4/23/2022,74.56666667,529.9515152
4/24/2022,91.3,735.4085835
4/25/2022,89.81666667,629.845045
4/26/2022,41.5,484.4845606
4/27/2022,87.05,555.3981918
4/28/2022,84,475.0975512
4/29/2022,75.05,466.0187842
4/30/2022,36.1,343.0111722
5/1/2022,51,487.8642793
5/2/2022,41.01666667,404.5809969
5/3/2022,25.2,413.9078549
5/4/2022,31.21666667,387.4931534
5/5/2022,28.66666667,393.1897826
5/6/2022,60.66666667,446.154893
5/7/2022,42.01666667,386.267504
5/8/2022,57,424.6083534
5/9/2022,50.11666667,368.7620576
5/10/2022,59.83333333,525.3096122
5/11/2022,35.91666667,616.8485667
5/12/2022,29.13333333,750.3896396
5/13/2022,51.38333333,560.7338824
5/14/2022,41.95,468.2921241
5/15/2022,34.25,481.3435702
5/16/2022,29.78333333,374.0595659
5/17/2022,26.85,394.2596908
5/18/2022,51.05,529.7355338
5/19/2022,40.23333333,513.4498271
5/20/2022,40.31666667,488.0969526
5/21/2022,56.88333333,523.2126423
5/22/2022,40.33333333,504.8610227
5/23/2022,31.73333333,501.6127525
5/24/2022,36,516.3043241
5/25/2022,48.98333333,474.7674084
5/26/2022,41,505.718514
5/27/2022,45.05,516.0561154
5/28/2022,47.86666667,482.6633907
5/29/2022,36.3,488.7881631
5/30/2022,29.46666667,455.2988357
5/31/2022,31.11666667,452.7842825
6/1/2022,46.93333333,456.4561977
6/2/2022,35.76666667,497.960393
6/3/2022,45.03333333,481.6710177
6/4/2022,50.5,531.8631783
6/5/2022,35.88333333,430.910466
6/6/2022,30.85,449.3529184
6/7/2022,74.95,502.2097572
6/8/2022,88.01666667,629.796633
6/9/2022,30.5,473.9989059
6/10/2022,48.05,513.1725795
6/11/2022,72.03333333,547.9709016
6/12/2022,56.93333333,505.9068219
6/13/2022,31.91666667,451.5689259
6/14/2022,30.31666667,457.9106996
6/15/2022,68.98333333,604.3392947
6/16/2022,83.96666667,548.5050725
6/17/2022,76.01666667,633.5805846
6/18/2022,84.03333333,599.9520039
6/19/2022,49,466.7053899
6/20/2022,77.96666667,576.2353994
6/21/2022,82.5,582.5114558
6/22/2022,40.66666667,453.0369802
6/23/2022,38.38333333,482.4172365
6/24/2022,43.46666667,474.9847687
6/25/2022,60.03333333,567.6894167
6/26/2022,90.1,665.6489859
6/27/2022,55.23333333,587.0871308
6/28/2022,46.8,519.9050192
6/29/2022,60.98333333,533.7306416
6/30/2022,30.66666667,449.507181
7/1/2022,86.21666667,563.6936434
7/2/2022,56,525.1828296
7/3/2022,83.98333333,575.096327
7/4/2022,47.55,508.0843874
7/5/2022,49.83333333,469.1246483
7/6/2022,50.65,514.8490685
7/7/2022,36.5,438.8386721
7/8/2022,33.01666667,436.6642322
7/9/2022,33.1,556.9057707
7/10/2022,40.3,510.6134118
7/11/2022,25.53333333,405.2340278
7/12/2022,66.01666667,479.0355028
7/13/2022,77.91666667,503.2667027
7/14/2022,40.35,453.4303483
7/15/2022,73.98333333,519.0335826
7/16/2022,78,543.634938
7/17/2022,80.81666667,508.0811364
7/18/2022,36.48333333,473.6773131
7/19/2022,31.36666667,409.5634146
7/20/2022,20.98333333,394.3017689
7/21/2022,30.43333333,491.8675799
7/22/2022,30.85,464.1404919
7/23/2022,83.9,581.5473441
7/24/2022,80.6,542.5146147
7/25/2022,34.53333333,460.012267
7/26/2022,60.31666667,501.0865642
7/27/2022,37.31666667,434.5989858
7/28/2022,71.98333333,541.7776612
7/29/2022,66.5,527.3634127
7/30/2022,74.98333333,565.6169713
7/31/2022,95.41666667,559.4921965
8/1/2022,81.41666667,543.3337758
8/2/2022,80.98333333,514.4414701
8/3/2022,72,490.0027349
8/4/2022,72.85,484.1398043
8/5/2022,71.91666667,420.5974245
8/6/2022,74.98333333,452.7312538
8/7/2022,51,426.5955455
8/8/2022,84.21666667,537.8869751
8/9/2022,71.83333333,444.2362654
8/10/2022,32.83333333,407.2871545
8/11/2022,33.01666667,414.7462887
8/12/2022,54.1,404.5223661
8/13/2022,55.61666667,456.1711174
8/14/2022,40.3,405.6475233
8/15/2022,69.38333333,460.2096803
8/16/2022,47.88333333,413.6519931
8/17/2022,40.46666667,441.4397948
8/18/2022,54.18333333,429.4552083
8/19/2022,79.23333333,437.5692427
8/20/2022,79.4,441.6094133
8/21/2022,66.85,459.4967638
8/22/2022,38.95,395.5393803
8/23/2022,75.88333333,511.759857
8/24/2022,65.35,409.1088953
8/25/2022,36.11666667,448.7368986
8/26/2022,56.48333333,407.7057301
8/27/2022,41.83333333,400.7898842
8/28/2022,29.65,465.0185294
8/29/2022,60.63333333,462.9459961
8/30/2022,50.98333333,444.1647899
8/31/2022,32.5,420.498662
9/1/2022,38.95,471.3703052
9/2/2022,42.11666667,429.7125371
9/3/2022,75.66666667,416.6057808
9/4/2022,71.61666667,432.5606421
9/5/2022,59.31666667,425.8149712
9/6/2022,40.65,429.8888798
9/7/2022,37.5,420.4935099
9/8/2022,60.8,451.7457527
9/9/2022,40.66666667,432.0918301
9/10/2022,31.23333333,361.0584238
9/11/2022,36,387.8458333
9/12/2022,30.46666667,398.1324002
9/13/2022,40.5,402.9300806
9/14/2022,40.5,416.2000763
9/15/2022,44.66666667,397.9739398
9/16/2022,42.55,441.5936937
9/17/2022,29.16666667,374.5458333
9/18/2022,30.51666667,388.1604451
9/19/2022,31.13333333,378.8347901
9/20/2022,40.31666667,396.4376267
9/21/2022,29.65,347.1357607
9/22/2022,35.93333333,404.9858974
9/23/2022,67.56666667,471.5588968
9/24/2022,55.76666667,466.2262012
9/25/2022,35.93333333,406.2104929
9/26/2022,43.1,475.0189822
9/27/2022,30.33333333,384.4154494
9/28/2022,35.11666667,361.0923314
9/29/2022,37.33333333,413.7861111
9/30/2022,45.63333333,457.4425474
10/1/2022,41.95,434.0894737
10/2/2022,50.35,406.0586066
10/3/2022,48.01666667,446.8439943
10/4/2022,60.86666667,516.4403879
10/5/2022,30.68333333,382.253196
10/6/2022,39.08333333,382.0232873
10/7/2022,30.18333333,358.983691
10/8/2022,37.85,432.2948718
10/9/2022,34.83333333,382.9472647
10/10/2022,43.63333333,468.7874599
10/11/2022,32.81666667,404.3045546
10/12/2022,28.13333333,340.0284808
10/13/2022,30.33333333,375.1173068
10/14/2022,30.16666667,388.9653808
10/15/2022,40.3,440.3591125
10/16/2022,34.13333333,396.4610857
10/17/2022,36.06666667,412.7774892
10/18/2022,40.48333333,422.3994574
10/19/2022,30.98333333,334.6086837
10/20/2022,31.51666667,449.4436914
10/21/2022,30.33333333,403.3448292
10/22/2022,60.58333333,468.2482821
10/23/2022,71.95,413.552881
10/24/2022,72.08333333,475.9747156
10/25/2022,40.65,402.7796898
10/26/2022,30.31666667,369.452964
10/27/2022,60.08333333,450.7992175
10/28/2022,36.2,458.7039306
10/29/2022,38.86666667,406.7761026
10/30/2022,31.06666667,397.2307122
10/31/2022,25.5,398.8572474
11/1/2022,25.8,357.1114464
11/2/2022,30.81666667,421.0993696
11/3/2022,35.96666667,440.8201973
11/4/2022,30.61666667,404.4448757
11/5/2022,33.01666667,372.1934058
11/6/2022,30.31666667,312.7315377
11/7/2022,36.08333333,205.749846
11/8/2022,30.23333333,67.71956522
11/9/2022,99.33333333,601.8713857
11/10/2022,40.51666667,432.1674052
11/11/2022,44.6,451.4342917
11/12/2022,33.91666667,356.7739673
11/13/2022,39.88333333,441.2516412
11/14/2022,32.78333333,400.1085323
11/15/2022,31.01666667,464.3781997
11/16/2022,40.33333333,410.3424337
11/17/2022,71.16666667,512.3438436
11/18/2022,78.25,487.1315324
11/19/2022,37.31666667,406.0704019
11/20/2022,33.13333333,398.9477101
11/21/2022,28.16666667,390.2565566
11/22/2022,33.58333333,394.812882
11/23/2022,41.53333333,427.5094762
11/24/2022,53.98333333,420.5831162
11/25/2022,45.01666667,399.3248686
11/26/2022,42.76666667,462.3382817
11/27/2022,36.38333333,404.9646465
11/28/2022,31.38333333,424.4660091
11/29/2022,41.38333333,411.9029008
11/30/2022,48.38333333,452.1001608
12/1/2022,71.33333333,446.2475677
12/2/2022,48.05,451.537084
12/3/2022,55.4,439.3901763
12/4/2022,38.53333333,443.7562246
12/5/2022,35.96666667,400.6585811
12/6/2022,30.66666667,370.1560198
12/7/2022,27.03333333,378.2022407
12/8/2022,41.5,442.5944284
12/9/2022,57.05,457.9982416
12/10/2022,58.15,484.7556748
12/11/2022,42.06666667,369.3872396
12/12/2022,34.51666667,409.6162809
12/13/2022,58.3,454.2792937
12/14/2022,49.75,453.2107183
12/15/2022,37,408.0975318
12/16/2022,30.16666667,335.0477904
12/17/2022,24.08333333,325.7718514
12/18/2022,41.7,456.6706698
12/19/2022,37.01666667,371.4004299
12/20/2022,24.05,220.8948969
12/21/2022,20.18333333,67.73508418
12/22/2022,10.01666667,11.2985348
12/23/2022,9.983333333,13.13932584
12/24/2022,10,15.18676976
12/25/2022,9.983333333,12.75823755
12/26/2022,10.03333333,16.08134058
12/27/2022,10.13333333,17.36521036
12/28/2022,9.5,15.40454545
12/29/2022,10.03333333,16.48573718
12/30/2022,7.133333333,15.52373188
12/31/2022,10.08333333,17.94395604
