mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan
477749600,Vung Tau,2022-10-07 18:36:35,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19226667,107.03740167,-,-
477749600,Mui Vung Tau,2022-10-07 18:38:03,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Vung Tau,2022-10-07 18:38:03,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 18:41:37,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19214167,107.03742,-,-
477749600,Vung Tau,2022-10-07 18:41:37,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19214167,107.03742,-,-
477749600,Mui Vung Tau,2022-10-07 18:43:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Vung Tau,2022-10-07 18:43:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 18:47:01,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Vung Tau,2022-10-07 18:47:01,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 18:49:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Vung Tau,2022-10-07 18:49:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19166667,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 18:53:24,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19186167,107.037485,-,-
477749600,Vung Tau,2022-10-07 18:53:24,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19186167,107.037485,-,-
477749600,Mui Vung Tau,2022-10-07 19:05:28,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19164,107.03756667,-,-
477749600,Vung Tau,2022-10-07 19:05:28,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19164,107.03756667,-,-
477749600,Mui Vung Tau,2022-10-07 19:10:21,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.191525,107.03753,-,-
477749600,Vung Tau,2022-10-07 19:10:21,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.191525,107.03753,-,-
477749600,Mui Vung Tau,2022-10-07 19:16:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Vung Tau,2022-10-07 19:16:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 19:18:23,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19136667,107.0376,-,-
477749600,Vung Tau,2022-10-07 19:18:23,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19136667,107.0376,-,-
477749600,Mui Vung Tau,2022-10-07 19:20:20,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19132333,107.03762667,-,-
477749600,Vung Tau,2022-10-07 19:20:20,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19132333,107.03762667,-,-
477749600,Mui Vung Tau,2022-10-07 19:23:34,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19123333,107.03768333,-,-
477749600,Vung Tau,2022-10-07 19:23:34,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19123333,107.03768333,-,-
477749600,Mui Vung Tau,2022-10-07 19:26:02,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Vung Tau,2022-10-07 19:26:02,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 19:29:02,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Vung Tau,2022-10-07 19:29:02,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 19:30:26,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19101667,107.03778,-,-
477749600,Vung Tau,2022-10-07 19:30:26,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19101667,107.03778,-,-
477749600,Mui Vung Tau,2022-10-07 19:32:26,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19094667,107.03781,-,-
477749600,Vung Tau,2022-10-07 19:32:26,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19094667,107.03781,-,-
477749600,Mui Vung Tau,2022-10-07 19:37:58,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Vung Tau,2022-10-07 19:37:58,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 19:40:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Vung Tau,2022-10-07 19:40:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Mui Vung Tau,2022-10-07 19:44:36,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19067333,107.03803,-,-
477749600,Vung Tau,2022-10-07 19:44:36,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19067333,107.03803,-,-
477749600,Mui Vung Tau,2022-10-07 19:46:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
477749600,Vung Tau,2022-10-07 19:46:59,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19,107.03666667,-,-
