mmsi,geojson,dt_pos_utc
325124800,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.8583333, 1.185, 0, 1648918500], [103.8713883, 1.19088, 0, 1648918680], [103.8766667, 1.19333333, 0, 1648918800], [103.8914433, 1.199195, 0, 1648919040]]}}]}",4/2/2022 23:55
412329638,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.8589833, 1.18679, 0, 1651923240], [103.8817717, 1.19550167, 0, 1651923960], [103.907685, 1.20807, 0, 1651924560]]}}]}",5/7/2022 18:34
412329643,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.8616667, 1.18666667, 0, 1658293920], [103.87, 1.19, 0, 1658294100], [103.8866667, 1.19833333, 0, 1658294460], [103.8976267, 1.204585, 0, 1658294700]]}}]}",7/20/2022 12:12
412329644,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.855, 1.18166667, 0, 1658276400], [103.8751467, 1.19153667, 0, 1658276820], [103.8866667, 1.19666667, 0, 1658277120], [103.9022, 1.2028, 0, 1658277360]]}}]}",7/20/2022 7:20
412331014,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.865, 1.18833333, 0, 1657827120], [103.8716667, 1.19, 0, 1657827300], [103.885, 1.195, 0, 1657827660], [103.8916667, 1.19833333, 0, 1657827840]]}}]}",7/15/2022 2:32
412336831,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.8666667, 1.18666667, 0, 1650331200], [103.87028, 1.19004333, 0, 1650331320], [103.88, 1.195, 0, 1650331560], [103.895, 1.2, 0, 1650331920], [103.86, 1.18333333, 0, 1669730700], [103.87054, 1.18866833, 0, 1669730940], [103.8886067, 1.197865, 0, 1669731420]]}}]}",4/19/2022 8:20
412418000,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[104.09902, -0.88913, 0, 1663870200], [104.085, -0.88666667, 0, 1663870860], [104.085, -0.88666667, 0, 1663871580], [104.085, -0.885, 0, 1663871940], [104.085, -0.885, 0, 1663872120], [104.0833333, -0.885, 0, 1663872300], [104.0833333, -0.885, 0, 1663872480], [104.0833333, -0.88333333, 0, 1663872660], [104.0816667, -0.88333333, 0, 1663873200], [104.0816667, -0.885, 0, 1663873740], [104.0933333, -0.89333333, 0, 1663988040], [104.0966667, -0.89333333, 0, 1663988220]]}}]}",9/23/2022 1:10
412440494,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.8668333, 1.18871667, 0, 1653091140], [103.87466, 1.19153833, 0, 1653091380], [103.9916667, 1.23833333, 0, 1653094440]]}}]}",5/21/2022 6:59
412440516,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.8461783, 1.17792, 0, 1654279800], [103.87424, 1.18923333, 0, 1654280460], [103.8992133, 1.20044333, 0, 1654281120]]}}]}",6/4/2022 1:10
412440555,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[103.8683333, 1.19166667, 0, 1657604760], [103.8774617, 1.19789167, 0, 1657605000], [103.8816667, 1.2, 0, 1657605120]]}}]}",7/12/2022 12:46
