mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo,geojson
567111000,,6/25/2022 20:54,Thailand,Asing,Fishing,Under Way Using Engine,9.7,out port,1.67026333,101.5987533,masuk,-,masuk,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""06/25/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[101.5987533, 1.67026333, 0, 1656165240]]}}]}"
567447000,Jakarta,4/28/2022 20:25,Thailand,Asing,Fishing,Moored,6.1,in port,-6.09543167,106.8827467,-,keluar,-,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""04/28/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[106.8827467, -6.09543167, 0, 1651152300]]}}]}"
574000070,Ujung Pandang,7/11/2022 18:45,Vietnam,Asing,Fishing,At Anchor,3.3,in port,-5.121,119.3697833,masuk,-,-,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""07/11/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[119.3697833, -5.121, 0, 1657539900]]}}]}"
574000070,Banten,8/12/2022 1:37,Vietnam,Asing,Fishing,Under Way Using Engine,3.4,in port,-5.98993333,105.9601,-,keluar,-,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""08/12/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[105.9601, -5.98993333, 0, 1660243020]]}}]}"
574000070,Tanjung Gerem,8/12/2022 1:37,Vietnam,Asing,Fishing,Under Way Using Engine,3.4,in port,-5.98993333,105.9601,masuk,-,-,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""08/12/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[105.9601, -5.98993333, 0, 1660243020]]}}]}"
574000070,Tanjung Gerem,8/12/2022 1:52,Vietnam,Asing,Fishing,Under Way Using Engine,3.4,in port,-5.9564,105.9624333,-,keluar,-,keluar,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""08/12/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[105.9624333, -5.9564, 0, 1660243920]]}}]}"
574000070,,8/12/2022 2:03,Vietnam,Asing,Fishing,Under Way Using Engine,3.4,out port,-5.93503333,105.9659,-,keluar,-,keluar,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""08/12/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[105.9659, -5.93503333, 0, 1660244580]]}}]}"
574000090,,5/21/2022 19:23,Vietnam,Asing,Fishing,Under Way Using Engine,6.2,out port,-2.95028,104.8699517,masuk,-,masuk,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""05/21/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[104.8699517, -2.95028, 0, 1653135780]]}}]}"
574000090,Sungaigerong,5/21/2022 19:33,Vietnam,Asing,Fishing,Under Way Using Engine,6.2,in port,-2.97050333,104.8596367,masuk,-,masuk,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""05/21/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[104.8596367, -2.97050333, 0, 1653136380]]}}]}"
574000090,Palembang,7/28/2022 19:46,Vietnam,Asing,Fishing,Moored,6,in port,-2.980725,104.7799767,-,keluar,-,-,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""time"": ""07/28/2022""}, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[104.7799767, -2.980725, 0, 1659012360]]}}]}"
