flag_country,unique_mmsi,unique_imo
Adelie Land,34,1
Afghanistan,40,0
Alaska,205,116
Albania,748,44
Algeria,165,92
American Samoa,30,0
Andorra,695,5
Angola,93,37
Anguilla,99,7
Antigua and Barbuda,737,694
Argentina,1077,522
Armenia,78,3
Aruba,6,1
Ascension Island,100,4
Australia,8253,412
Austria,606,8
Azerbaijan,349,229
Azores,583,274
Bahamas,1257,1231
Bahrain,2843,134
Bangladesh,182,126
Barbados,344,316
Belarus,27,2
Belgium,3960,398
Belize,798,601
Benin,32,1
Bermuda,327,175
Bhutan,294,10
Bolivia,87,30
Bosnia and Herzegovina,18,0
Botswana,64,0
Brazil,2606,556
British Virgin Islands,551,55
Brunei,63,42
Bulgaria,478,40
Burkina Faso,32,0
Burundi,30,1
Cambodia,135,11
Cameroon,393,271
Canada,6936,666
Cape Verde,46,22
Cayman Islands,1776,1025
Central African Republic,140,3
Chad,11,1
Chile,616,317
China,182156,7529
Christmas Island,51,0
Cocos Islands,58,2
Colombia,346,99
Comoros,379,294
Congo,91,11
Cook Islands,839,229
Costa Rica,112,7
Croatia,976,223
Crozet Archipelago,55,1
Cuba,119,37
Cyprus,3774,1157
Czech Republic,169,9
Denmark,7369,933
Djibouti,75,29
Dominica,154,58
Dominican Republic,35,21
Ecuador,671,194
Egypt,343,173
El Salvador,44,11
Equatorial Guinea,81,39
Eritrea,44,2
Estonia,398,102
Ethiopia,20,12
Falkland Islands,53,22
Faroe Islands,393,177
Fiji,139,33
Finland,2082,258
France,14861,720
French Guiana,28,8
Gabon,120,84
Gambia,27,11
Georgia,199,43
Germany,15945,783
Ghana,114,42
Gibraltar,480,171
Greece,2472,1394
Greenland,233,56
Grenada,112,4
Guadeloupe,139,8
Guatemala,74,9
Guinea,35,8
Guinea-Bissau,54,35
Guyana,110,70
Haiti,37,3
Honduras,69,31
Hong Kong,3689,2726
Hungary,99,2
Iceland,1325,202
India,4482,1099
Indonesia,13330,3658
Iran,3340,889
Iraq,94,28
Ireland,1030,144
Israel,274,32
Italy,5872,1271
Ivory Coast,37,4
Jamaica,345,116
Japan,9537,2541
Jordan,48,30
Kazakhstan,153,91
Kenya,39,12
Kerguelen Islands,55,21
Kiribati,110,52
Kuwait,149,121
Kyrgyzstan,53,3
Laos,31,1
Latvia,263,97
Lebanon,86,32
Lesotho,10,1
Liberia,5480,5629
Libya,66,35
Liechtenstein,38,3
Lithuania,189,69
Luxembourg,368,196
Macao,79,0
Macedonia,22,7
Madagascar,88,6
Madeira,947,898
Malawi,30,1
Malaysia,2664,1014
Maldives,54,10
Mali,4,0
Malta,4785,2727
Marshall Islands,5308,5116
Martinique,175,3
Mauritania,72,21
Mauritius,153,39
Mexico,651,524
Micronesia,188,38
Moldova,154,100
Monaco,127,9
Mongolia,418,262
Montenegro,88,20
Montserrat,22,1
Morocco,240,125
Mozambique,62,15
Myanmar,1091,33
Namibia,148,72
Nauru,43,24
Nepal,26,0
Netherlands,20233,2214
Netherlands Antilles,129,55
New Caledonia,220,24
New Zealand,2073,85
Nicaragua,181,6
Niger,23,3
Nigeria,922,625
Niue,127,61
North Korea,188,131
Northern Mariana,27,5
Norway,12560,2303
Oman,153,45
Pakistan,242,43
Palau,566,478
Palestine,27,0
Panama,9245,8293
Papua New Guinea,155,93
Paraguay,220,64
Peru,446,164
Philippines,974,620
Pitcairn Island,147,11
Poland,1813,143
Portugal,1020,111
Puerto Rico,63,0
Qatar,401,129
Reunion,479,23
Romania,531,96
Russian Federation,6644,3430
Rwanda,204,1
Saint Helena,55,6
Saint Kitts and Nevis,412,346
Saint Lucia,16,3
Saint Paul and Amsterdam Islands,9,2
Saint Pierre and Miquelon,64,5
Saint Vincent and the Grenadines,1034,791
Samoa,57,17
San Marino,88,5
Sao Tome and Principe,172,25
Saudi Arabia,1008,333
Senegal,92,36
Serbia,93,3
Seychelles,317,47
Sierra Leone,630,469
Singapore,5654,3349
Slovakia,197,13
Slovenia,115,6
Solomon Islands,27,10
Somalia,282,35
South Africa,840,72
South Korea,8108,1646
South Sudan,28,1
Spain,6895,960
Sri Lanka,2141,138
Sudan,80,2
Suriname,20,3
Swaziland,78,0
Sweden,8263,341
Switzerland,1030,69
Syria,26,6
Tahiti,140,18
Taiwan,4986,476
Tajikistan,18,1
Tanzania,407,329
Thailand,1692,495
Togo,404,338
Tonga,24,8
Trinidad and Tobago,125,50
Tunisia,107,49
Turkey,4448,781
Turkmenistan,91,53
Turks and Caicos Islands,25,0
Tuvalu,320,255
Uganda,50,1
UK,21339,1816
Ukraine,496,104
United Arab Emirates,1006,636
Uruguay,263,63
US Virgin Islands,11,1
USA,42645,4423
Uzbekistan,15,3
Vanuatu,572,418
Vatican City,195,5
Venezuela,1174,117
Vietnam,22219,1263
Wallis and Futuna Islands,39,17
Yemen,45,7
Zambia,40,2
Zimbabwe,3,0
