flag_country,mmsi_count
Chad,115
Paraguay,165457
Anguilla,2002
Macao,3164
Yemen,524
Senegal,68484
Sweden,990070
Kiribati,23507
Guyana,16455
Philippines,267347
Eritrea,608
Tonga,1941
Djibouti,8506
Singapore,2463184
Malaysia,572954
Fiji,38086
Turkey,545610
Malawi,462
Iraq,6108
Germany,1787833
Comoros,65588
Crozet Archipelago,2208
Cambodia,1678
Afghanistan,361
Saint Helena,9372
Maldives,3585
Jordan,7319
Ivory Coast,399
Rwanda,599
Sudan,367
Palau,105558
France,1015987
Greece,637996
Kerguelen Islands,21059
Sri Lanka,48145
Montserrat,437
Taiwan,621860
Dominica,22444
British Virgin Islands,60908
Togo,114191
Equatorial Guinea,8572
Algeria,29445
Slovakia,36919
Reunion,33347
Adelie Land,426
Argentina,584867
Belgium,718110
Angola,31686
Ecuador,264901
Qatar,39412
Lesotho,131
Pitcairn Island,1630
Madagascar,8324
Albania,14385
Finland,236136
New Caledonia,47304
Ghana,38255
Myanmar,48415
Nicaragua,2697
Peru,299017
Sierra Leone,107674
Benin,2443
Bahamas,1012979
China,16742868
India,332547
Belarus,112
Malta,1907766
Kuwait,51232
American Samoa,153
Sao Tome and Principe,2549
Marshall Islands,3677388
Tuvalu,76304
Somalia,5326
Chile,374293
Tajikistan,182
Martinique,10849
Cayman Islands,663500
Croatia,110872
Nigeria,602293
Wallis and Futuna Islands,14581
Bolivia,30812
Andorra,4721
San Marino,1181
Puerto Rico,255
Turks and Caicos Islands,515
Ascension Island,1001
Cocos Islands,283
Burundi,99
,51064
Gabon,22574
Italy,675462
Suriname,615
Netherlands Antilles,45290
Lithuania,51235
Norway,2713670
Turkmenistan,13397
Spain,876286
Cuba,12791
Mauritania,14230
Tahiti,61558
Guadeloupe,11233
Denmark,1300432
Niger,1463
Central African Republic,1102
Barbados,146924
Bangladesh,40978
Alaska,126564
Iran,106201
Russian Federation,1604500
Ireland,112385
Congo,9285
Liechtenstein,380
Thailand,236718
Christmas Island,214
Laos,108
Bhutan,4128
Morocco,103189
Monaco,8251
Panama,5000871
Cape Verde,16474
Hong Kong,2038347
Nauru,9572
Ukraine,51595
Venezuela,85578
Iceland,214161
Israel,26296
Saint Kitts and Nevis,95480
USA,8810889
Oman,19882
North Korea,5417
South Korea,1006282
Cyprus,831836
Gibraltar,108015
Palestine,397
Uruguay,93569
Mexico,347021
Aruba,352
Estonia,52750
Montenegro,7876
Georgia,15056
Indonesia,1452799
Saint Vincent and the Grenadines,459892
Mongolia,51162
Guatemala,5756
Azerbaijan,57829
Libya,11588
Grenada,1474
Armenia,299
Liberia,3613029
Tunisia,12704
Honduras,10833
Syria,860
UK,2050989
Trinidad and Tobago,41343
Saudi Arabia,110078
Uganda,598
French Guiana,6065
Namibia,140468
Switzerland,140432
Zambia,629
Ethiopia,6848
Latvia,70124
Jamaica,97122
United Arab Emirates,274363
Brunei,16818
Saint Lucia,3612
US Virgin Islands,196
Guinea,6613
Azores,233270
Canada,1197006
Seychelles,30598
Faroe Islands,88364
Samoa,6207
Uzbekistan,191
Kyrgyzstan,765
Macedonia,90
Czech Republic,13924
Mozambique,24834
Cook Islands,120949
Belize,206091
Brazil,847125
Kenya,10704
Gambia,7232
Lebanon,9344
Antigua and Barbuda,453526
Dominican Republic,12620
Japan,2627367
Tanzania,61834
Falkland Islands,22791
Luxembourg,152456
New Zealand,304234
Greenland,84711
Haiti,220
Poland,165491
Portugal,194125
Cameroon,98082
Papua New Guinea,59850
Australia,1189860
Romania,132178
Guinea-Bissau,18364
Bulgaria,60212
Solomon Islands,7350
Austria,28642
Egypt,42218
Kazakhstan,10017
Costa Rica,5258
El Salvador,4098
Serbia,7548
South Africa,200386
Burkina Faso,383
Bermuda,156180
Micronesia,31210
Bahrain,75362
Colombia,103678
Hungary,5216
Pakistan,10086
Vanuatu,268631
Vatican City,12671
Northern Mariana,373
Niue,17771
Madeira,626085
Mauritius,40965
Moldova,15393
Vietnam,709247
Netherlands,4459050
Slovenia,3961
Bosnia and Herzegovina,448
Nepal,337
Saint Pierre and Miquelon,2841
Swaziland,446
South Sudan,162
Botswana,164
Saint Paul and Amsterdam Islands,12
Mali,10
Zimbabwe,11
