vessel_type,mmsi_count
Sailing,2607522
Tanker,10218414
Ships Not Party to Armed Conflict,47387
Military,294571
Towing,1958264
Reserved,382493
SAR,560415
Unknown,3064681
Other,5256911
UNAVAILABLE,26120
Law Enforcement,367312
Tug,6701986
Pleasure Craft,4674990
Passenger,4960352
Diving,143889
Fishing,10360734
Port Tender,337944
Spare,1335571
Medical Transport,20699
Pilot,737693
WIG,296352
Dredging,1087616
Not Available,144213
Cargo,32547838
Vessel With Anti-Pollution Equipment,167599
HSC,694960
