flag_country,unique_mmsi,unique_imo
Adelie Land,73,1
Afghanistan,106,1
Alaska,261,135
Albania,1561,58
Algeria,266,163
American Samoa,59,2
Andorra,1437,18
Angola,149,43
Anguilla,183,9
Antigua and Barbuda,862,951
Argentina,1269,573
Armenia,272,16
Aruba,15,6
Ascension Island,167,7
Australia,9280,456
Austria,883,18
Azerbaijan,433,251
Azores,874,387
Bahamas,1506,1696
Bahrain,4779,150
Bangladesh,241,162
Barbados,368,391
Belarus,86,11
Belgium,4696,620
Belize,999,795
Benin,83,8
Bermuda,434,283
Bhutan,621,23
Bolivia,121,31
Bosnia and Herzegovina,30,2
Botswana,178,3
Brazil,3084,618
British Virgin Islands,704,164
Brunei,87,44
Bulgaria,596,59
Burkina Faso,87,7
Burundi,77,2
Cambodia,270,26
Cameroon,469,309
Canada,8716,792
Cape Verde,79,24
Cayman Islands,2110,2577
Central African Republic,328,9
Chad,27,4
Chile,745,344
China,238584,10304
Christmas Island,119,2
Cocos Islands,87,3
Colombia,432,109
Comoros,475,336
Congo,292,14
Cook Islands,1208,284
Costa Rica,276,13
Croatia,1200,251
Crozet Archipelago,134,1
Cuba,241,44
Cyprus,6176,1541
Czech Republic,230,13
Denmark,9056,1178
Djibouti,141,37
Dominica,208,74
Dominican Republic,58,23
Ecuador,771,218
Egypt,498,202
El Salvador,69,14
Equatorial Guinea,111,42
Eritrea,60,2
Estonia,483,111
Ethiopia,27,14
Falkland Islands,84,23
Faroe Islands,764,197
Fiji,187,36
Finland,2588,307
France,18426,941
French Guiana,38,10
Gabon,158,112
Gambia,33,17
Georgia,374,56
Germany,19116,1001
Ghana,128,45
Gibraltar,666,249
Greece,3004,1812
Greenland,383,80
Grenada,207,7
Guadeloupe,207,10
Guatemala,146,12
Guinea,68,9
Guinea-Bissau,80,42
Guyana,135,83
Haiti,106,4
Honduras,108,35
Hong Kong,4302,3403
Hungary,273,13
Iceland,1838,299
India,8332,1351
Indonesia,16370,4061
Iran,5167,1159
Iraq,162,32
Ireland,1368,181
Israel,381,34
Italy,7992,3974
Ivory Coast,87,7
Jamaica,457,189
Japan,11499,2994
Jordan,69,36
Kazakhstan,184,100
Kenya,69,14
Kerguelen Islands,126,61
Kiribati,150,64
Kuwait,187,147
Kyrgyzstan,98,7
Laos,53,30
Latvia,308,124
Lebanon,128,39
Lesotho,27,4
Liberia,6376,7537
Libya,94,40
Liechtenstein,85,12
Lithuania,244,106
Luxembourg,488,329
Macao,143,3
Macedonia,63,23
Madagascar,113,8
Madeira,1149,1469
Malawi,51,4
Malaysia,3487,1138
Maldives,121,14
Mali,11,0
Malta,5684,4530
Marshall Islands,6266,7176
Martinique,238,3
Mauritania,162,28
Mauritius,220,46
Mexico,832,592
Micronesia,371,41
Moldova,255,159
Monaco,200,54
Mongolia,523,323
Montenegro,158,34
Montserrat,33,2
Morocco,317,137
Mozambique,112,15
Myanmar,1430,40
Namibia,177,79
Nauru,61,26
Nepal,48,1
Netherlands,23459,3076
Netherlands Antilles,161,66
New Caledonia,316,45
New Zealand,2504,103
Nicaragua,380,9
Niger,60,6
Nigeria,1023,690
Niue,219,88
North Korea,245,163
Northern Mariana,65,14
Norway,14410,2767
Oman,227,48
Pakistan,597,55
Palau,700,640
Palestine,53,1
Panama,11252,9982
Papua New Guinea,197,101
Paraguay,258,70
Peru,510,176
Philippines,1090,689
Pitcairn Island,306,21
Poland,2258,168
Portugal,1246,138
Puerto Rico,167,4
Qatar,949,148
Reunion,677,25
Romania,626,107
Russian Federation,8024,4182
Rwanda,439,2
Saint Helena,92,8
Saint Kitts and Nevis,499,425
Saint Lucia,48,14
Saint Paul and Amsterdam Islands,47,16
Saint Pierre and Miquelon,93,8
Saint Vincent and the Grenadines,1144,921
Samoa,116,20
San Marino,167,15
Sao Tome and Principe,286,34
Saudi Arabia,2415,407
Senegal,125,39
Serbia,159,6
Seychelles,397,53
Sierra Leone,810,641
Singapore,6877,4181
Slovakia,254,21
Slovenia,185,9
Solomon Islands,55,16
Somalia,545,48
South Africa,1091,82
South Korea,11092,1956
South Sudan,70,3
Spain,8585,1086
Sri Lanka,3322,238
Sudan,154,5
Suriname,52,7
Swaziland,137,0
Sweden,9382,439
Switzerland,1225,94
Syria,49,10
Tahiti,182,27
Taiwan,7392,611
Tajikistan,44,1
Tanzania,498,385
Thailand,2231,561
Togo,471,413
Tonga,67,15
Trinidad and Tobago,180,53
Tunisia,156,91
Turkey,5710,926
Turkmenistan,132,63
Turks and Caicos Islands,73,1
Tuvalu,395,292
Uganda,73,7
UK,25970,2482
Ukraine,614,130
United Arab Emirates,1239,789
Uruguay,348,74
US Virgin Islands,16,3
USA,52773,5485
Uzbekistan,32,3
Vanuatu,681,494
Vatican City,417,11
Venezuela,1751,133
Vietnam,35145,1635
Wallis and Futuna Islands,66,23
Yemen,98,12
Zambia,75,7
Zimbabwe,8,1
