vessel_type,count
Cargo,1079673972
Diving,583533
Dredging,4814193
Fishing,32350006
HSC,2563085
Law Enforcement,1212456
Medical Transport,41559
Military,1253561
Not Available,145353
Other,41605675
Passenger,23545367
Pilot,493316
Pleasure Craft,5932659
Port Tender,499205
Reserved,3371596
Sailing,1821814
SAR,219813
Ships Not Party to Armed Conflict,512777
Spare,239261
Tanker,405830768
Towing,6914268
Tug,58101850
UNAVAILABLE,14422
Unknown,22896834
Vessel With Anti-Pollution Equipment,11148
WIG,2227214
