flag_country,count
Alaska,447270
Algeria,22405
Angola,333599
Antigua and Barbuda,12684314
Australia,4250923
Azerbaijan,27255
Azores,6393333
Bahamas,46086637
Bahrain,54803
Bangladesh,3195427
Barbados,3869093
Belgium,3522310
Belize,2652265
Bermuda,7240475
Bolivia,42510
Brazil,1206293
British Virgin Islands,145790
Brunei,271029
Cambodia,14549
Cameroon,1208453
Canada,42739
Cayman Islands,9666163
China,50117886
Comoros,358617
Cook Islands,2084081
Croatia,471505
Cuba,2101
Cyprus,27802416
Denmark,15708239
Djibouti,425467
Dominica,110427
Egypt,192919
Equatorial Guinea,59028
Ethiopia,579482
Fiji,31397
Finland,340499
France,4049456
Gabon,740274
Germany,2366932
Ghana,13178
Gibraltar,1293269
Greece,23572672
Guyana,87284
Honduras,90106
Hong Kong,142471987
India,4332331
Indonesia,118156227
Iran,1640846
Iraq,316
Ireland,34865
Israel,104074
Italy,4202055
Jamaica,415040
Japan,28740294
Jordan,69811
Kenya,115883
Kerguelen Islands,2902
Kiribati,647510
Kuwait,870148
Lebanon,14273
Lesotho,9506
Liberia,222763125
Libya,381699
Lithuania,130935
Luxembourg,1928898
Madeira,18690476
Malaysia,29036743
Maldives,89086
Malta,68472949
Marshall Islands,222347422
Mauritania,43
Mauritius,308762
Mexico,1434
Micronesia,377419
Moldova,13091
Mongolia,1586056
Montenegro,388692
Morocco,9427
Myanmar,83839
Nauru,490955
Netherlands,8296458
Netherlands Antilles,1044277
New Zealand,13715
Niue,561980
Northern Mariana,14580
Norway,23258478
null,12042
Pakistan,437598
Palau,1552797
Panama,287570391
Papua New Guinea,2014643
Philippines,7408608
Pitcairn Island,1512
Qatar,376033
Russian Federation,3865401
Saint Kitts and Nevis,691369
Saint Vincent and the Grenadines,2932773
Samoa,179423
Sao Tome and Principe,34945
Saudi Arabia,4744358
Seychelles,314919
Sierra Leone,2398557
Singapore,161978946
Solomon Islands,69459
Somalia,38482
South Africa,303590
South Korea,15670668
Spain,1146769
Sri Lanka,489436
Sweden,1834738
Switzerland,959616
Syria,20809
Taiwan,13864618
Tanzania,788435
Thailand,6016078
Togo,703241
Tonga,3
Turkey,1868951
Tuvalu,3142949
UK,18656743
United Arab Emirates,256788
USA,4572905
Vanuatu,2558852
Vietnam,11117616
Wallis and Futuna Islands,287167
