vessel_type,unique_mmsi,unique_imo
Cargo,15854,15336
Diving,51,51
Dredging,237,237
Fishing,1409,1447
HSC,304,305
Law Enforcement,75,78
Medical Transport,9,9
Military,135,137
Not Available,340,359
Other,1517,1488
Passenger,1379,1393
Pilot,91,93
Pleasure Craft,463,495
Port Tender,73,80
Reserved,460,462
Sailing,216,216
SAR,54,54
Ships Not Party to Armed Conflict,34,33
Spare,67,66
Tanker,8046,7625
Towing,781,795
Tug,3305,3314
UNAVAILABLE,69,69
Unknown,7811,7801
Vessel With Anti-Pollution Equipment,25,25
WIG,390,392
