vessel_type,count
Sailing                             ,5086627
Tanker                              ,408580328
Ships Not Party to Armed Conflict   ,803767
Military                            ,1985202
Towing                              ,8762577
Reserved                            ,3762261
SAR                                 ,726339
Unknown                             ,28610799
Other                               ,46753351
UNAVAILABLE                         ,41906
Tug                                 ,69560838
Law Enforcement                     ,2340110
Pleasure Craft                      ,13586891
Passenger                           ,26935753
Diving                              ,792132
Fishing                             ,43863196
Port Tender                         ,1490724
Spare                               ,618906
Medical Transport                   ,73393
WIG                                 ,2738792
Pilot                               ,2563779
Dredging                            ,5498381
Not Available                       ,487398
Cargo                               ,1090907276
Vessel With Anti-Pollution Equipment,24257
HSC                                 ,2935789
