flag_country,unique_mmsi,unique_imo
Adelie Land,1,0
Alaska,8,5
Albania,5,4
Algeria,1,1
Andorra,4,0
Angola,6,4
Antigua and Barbuda,160,246
Argentina,1,0
Australia,240,56
Austria,3,0
Azerbaijan,2,1
Azores,76,99
Bahamas,507,705
Bahrain,2,3
Bangladesh,86,100
Barbados,50,61
Belgium,54,56
Belize,136,159
Bermuda,66,105
Bhutan,1,0
Bolivia,5,0
Botswana,1,1
Brazil,16,15
British Virgin Islands,16,30
Brunei,10,8
Bulgaria,2,0
Burkina Faso,2,0
Cambodia,6,4
Cameroon,40,49
Canada,11,1
Cape Verde,1,0
Cayman Islands,135,327
Central African Republic,1,0
Chad,1,0
Chile,1,0
China,1467,1055
Christmas Island,1,0
Cocos Islands,5,1
Comoros,28,26
Cook Islands,141,75
Costa Rica,1,0
Croatia,9,9
Crozet Archipelago,1,0
Cuba,3,3
Cyprus,360,474
Czech Republic,1,0
Denmark,253,305
Djibouti,14,20
Dominica,10,4
Dominican Republic,1,0
Ecuador,1,0
Egypt,4,4
Equatorial Guinea,22,8
Eritrea,4,0
Estonia,1,0
Ethiopia,8,10
Faroe Islands,1,0
Fiji,17,5
Finland,5,6
France,84,71
Gabon,34,34
Georgia,1,0
Germany,59,57
Ghana,1,2
Gibraltar,19,23
Greece,345,470
Greenland,1,1
Grenada,1,1
Guinea,2,0
Guyana,8,8
Honduras,3,3
Hong Kong,1890,2306
India,112,131
Indonesia,16094,4008
Iran,82,89
Iraq,2,1
Ireland,4,1
Israel,1,2
Italy,94,383
Jamaica,6,19
Japan,493,620
Jordan,1,1
Kazakhstan,3,0
Kenya,1,2
Kerguelen Islands,4,9
Kiribati,45,29
Kuwait,23,39
Laos,1,29
Lebanon,1,1
Lesotho,1,1
Liberia,3229,4116
Libya,7,9
Liechtenstein,12,0
Lithuania,2,1
Luxembourg,30,72
Madeira,231,373
Malawi,1,0
Malaysia,1030,629
Maldives,3,1
Malta,872,1246
Marshall Islands,2894,3756
Mauritania,2,2
Mauritius,10,8
Mexico,1,2
Micronesia,8,4
Moldova,4,2
Monaco,1,1
Mongolia,164,108
Montenegro,10,3
Morocco,2,1
Myanmar,6,4
Namibia,1,0
Nauru,14,12
Netherlands,127,158
Netherlands Antilles,14,20
New Caledonia,5,0
New Zealand,22,1
Nicaragua,2,1
Nigeria,1,1
Niue,58,31
Northern Mariana,3,2
Norway,280,416
Pakistan,6,9
Palau,79,92
Panama,4584,5258
Papua New Guinea,47,34
Philippines,163,141
Pitcairn Island,3,10
Poland,11,0
Puerto Rico,1,0
Qatar,9,8
Reunion,1,0
Russian Federation,72,91
Saint Kitts and Nevis,54,54
Saint Vincent and the Grenadines,56,80
Samoa,8,8
San Marino,2,0
Sao Tome and Principe,6,8
Saudi Arabia,94,121
Seychelles,26,5
Sierra Leone,94,117
Singapore,3587,2903
Solomon Islands,2,1
Somalia,18,27
South Africa,7,4
South Korea,351,448
South Sudan,2,0
Spain,15,15
Sri Lanka,11,10
Sweden,21,23
Switzerland,15,14
Syria,1,2
Tahiti,3,0
Taiwan,351,204
Tanzania,58,53
Thailand,200,189
Togo,23,27
Tonga,2,1
Turkey,41,46
Tuvalu,110,113
UK,345,411
United Arab Emirates,8,10
USA,165,82
Vanuatu,38,43
Vietnam,474,489
Wallis and Futuna Islands,2,2
Yemen,3,0
